epoch,total,pde,bc,rmse,rel_rmse
1,4415645.476034815,4415641.434511318,0.04041523497455556,0.539280642134054,1.1208807802065672
100,5110305.684618198,5110149.792087,1.5589253119867255,1.278075772880888,2.65644723274479
200,5333968.393963105,5333599.439756666,3.6895420643843386,1.8199723089030637,3.7827650803206816
300,5174691.534090926,5174037.664889223,6.538692017032451,2.289510773095469,4.758688558675668
400,5681566.861928432,5680900.040759563,6.668211688690378,2.083600416985317,4.330709242199505
500,5090670.591448086,5089785.369489254,8.85221958831591,2.6041773559333135,5.412714862086987
600,4974777.49244949,4974163.986329956,6.135061195340159,1.9524080864442515,4.058029397374973
700,4383055.553314351,4382265.719164934,7.898341494166691,2.285000973872171,4.749315058354979
800,5387783.873569394,5386945.99004254,8.378835268542163,2.302241455916451,4.785148951610368
900,4960428.975466195,4959442.976365166,9.859991010290612,2.3798748892655546,4.946508022460954
1000,4834171.039814832,4831858.449205864,23.12590608967136,3.417991698209424,7.104206793456905
1100,4032033.935488746,4031793.27062078,2.40664867966167,1.1882568457902227,2.469760930272847
1200,3214925.0358361644,3214673.5871330807,2.514487030835002,1.4033766983431364,2.9168819454334343
1300,2226548.965114496,2226267.46733188,2.8149778261628557,1.6562643092141713,3.442502263374012
1400,2465551.3552363706,2464926.8957483885,6.244594879822882,2.2577873270775104,4.692752201711809
1500,2255688.8726799698,2254687.703661207,10.011690187625161,2.806145655145472,5.832500715890439
1600,2081426.054713674,2080708.734170665,7.173205430087666,2.5831114813812834,5.3689299900578815
1700,1744699.1664277,1744599.560311893,0.9960611580708997,1.0989249998750887,2.2840870133482376
1800,1597416.0257353457,1597340.853624709,0.7517211063671629,0.9253386210468386,1.923292242439558
1900,1808256.5130824037,1808005.171386439,2.5134169596473463,1.5735595851538176,3.2706026467575224
2000,1927242.2089413356,1926721.4909204198,5.2071802091577775,2.2118004525145123,4.597169679714622
2100,1531300.4751899352,1530578.9860087694,7.214891811657574,2.5660615907474233,5.333492236089017
2200,1557078.6741930973,1556146.2955311614,9.323786619360279,2.8802625778587574,5.9865508108996455
2300,1758999.5336555566,1757938.6626479544,10.608710076021348,3.0555380070030496,6.3508562289336545
2400,2005885.0956151236,2004627.0621548626,12.580334602610023,3.287094922111477,6.832141250850762
2500,1946644.0226365514,1945187.1340331598,14.568886033915767,3.485761543423676,7.2450646530634195
2600,1708104.6676409796,1706520.206486328,15.844611546516994,3.5459673096608824,7.370200771366956
2700,1630914.1083600873,1629301.9042781838,16.122040819035576,3.6025655322810732,7.487838704146776
2800,1400197.2465149562,1398484.1013655486,17.131451494076053,3.5797568374197875,7.4404314254607815
2900,1531978.2851359725,1530301.9412394753,16.7634389649719,3.5329499498124197,7.3431445276912415
3000,1652279.655763363,1650594.0351711279,16.856205922350437,3.417187023824377,7.1025342986887745
3100,1689978.583197709,1688435.4212137994,15.431619839096292,3.1675899002297183,6.583753172919103
3200,1392287.6776397205,1390967.4081019943,13.202695377262234,2.8945504367082804,6.0162477536850565
3300,1723347.7995227808,1722534.8066147165,8.129929080643057,2.054261492281997,4.269729050732322
3400,1560934.1826649543,1560602.476147008,3.317065179464808,1.0681780935060865,2.2201803686308503
3500,1494144.8115453692,1493995.1384663968,1.4967307897244588,1.0946735101316432,2.2752504025590654
3600,1325484.0753771574,1325067.074840119,4.1700053703833975,2.16717388733707,4.5044145253740435
3700,1413773.712870757,1412907.929830373,8.657830403841386,2.9558831874193796,6.1437262798884555
3800,1484913.7404434346,1483772.878185778,11.408622576567023,3.272108335369796,6.800992020325493
3900,1372335.3994881432,1371003.4787087126,13.319207794306385,3.411806265802714,7.091350533171886
4000,1381829.47119352,1380448.1713163361,13.812998771837911,3.4687090977059434,7.20962158841922
4100,1286019.577828459,1284531.6248824564,14.879529460026596,3.503186478136347,7.281281926389785
4200,1241513.3414724634,1239972.316558311,15.410249141524389,3.50417803312263,7.283342847624125
4300,1493834.1388405485,1492253.8727639013,15.802660766472977,3.5106838364954984,7.296864990624835
4400,1358407.8641595857,1356699.6607604756,17.08203399110146,3.5601675814226508,7.399715666669873
4500,1241273.901617976,1239478.1166954427,17.95784922533147,3.613238183506493,7.510021531969191
4600,1269767.1642031549,1268083.8815267305,16.83282676424364,3.6007214946744437,7.484005919971417
4700,1330098.1295794614,1328316.982379345,17.811472001163352,3.628768579198237,7.542301055244851
4800,1209812.7834099904,1207948.8368008956,18.639466090946737,3.6617535699076655,7.610859500018955
4900,1259203.4732682894,1257345.3816599327,18.58091608356748,3.6438598132451823,7.573667792470726
5000,1575607.7391031152,1573680.1296755017,19.276094276134085,3.6732699503757016,7.634795997114578
5100,1358602.061976748,1356553.6818961406,20.483800806074324,3.722378805997383,7.736867475494473
5200,1614436.5396388567,1612439.211361154,19.973282777026363,3.7463777030457748,7.7867485584520395
5300,1271084.105860822,1269017.7215881092,20.66384272712634,3.7810953098475046,7.858908200683652
5400,1310197.7501636893,1308132.325558631,20.654246050581634,3.776962197305469,7.850317633826912
5500,1217094.0460966057,1215062.127904827,20.319181917787727,3.8157090216371543,7.9308518998364645
5600,1267382.4412170155,1265197.4747754354,21.849664415799904,3.8097074143885017,7.918377715358523
5700,1283051.5568251633,1280935.65811946,21.158987057031045,3.837847892175326,7.976866966098661
5800,1266994.1683948939,1264684.5664014635,23.096019934305033,3.859413210704181,8.021689919435854
5900,1228959.951407208,1226803.7298636842,21.56221543523917,3.8579468581028054,8.018642143714878
6000,1377261.4276109375,1375140.8093653994,21.206182455381796,3.8607029251965352,8.024370557444133
6100,1543908.4517480477,1541738.0199265126,21.704318215351286,3.867808165342091,8.039138614176874
6200,1304784.8829726186,1302523.5670923227,22.613158802958587,3.886399429888923,8.07778007371048
