epoch,loss,elapsed
77,4.4621668884898984e+00,0.01269317
78,4.3054425485900047e+00,0.01279900
79,4.2310392715866625e+00,0.01290158
80,4.1510620681986365e+00,0.01299733
81,4.0643646462288121e+00,0.01309313
82,3.9936605588810394e+00,0.01318917
83,3.8800003617553971e+00,0.01328508
84,3.7937874141044756e+00,0.01338479
85,3.7417541519979158e+00,0.01349221
86,3.6811113722457942e+00,0.01359275
87,3.6030994179658746e+00,0.01369450
88,3.5044910481195934e+00,0.01379442
89,3.4081196798237010e+00,0.01389937
90,3.3433416639713753e+00,0.01399508
91,3.2668674073146926e+00,0.01409171
92,3.1802936110446725e+00,0.01418913
93,3.0727695976839908e+00,0.01428550
94,2.9747485795105653e+00,0.01438271
95,2.8982624546517353e+00,0.01449046
96,2.8389736830806562e+00,0.01461117
97,2.7312517950068376e+00,0.01472829
98,2.6462674979752703e+00,0.01482946
99,2.5977139851201883e+00,0.01492842
100,2.5391879245979756e+00,0.01502821
101,2.5036953466907201e+00,0.01512817
102,2.4671082217191596e+00,0.01522937
103,2.4215312666124458e+00,0.01533000
104,2.3983839036925385e+00,0.01544146
105,2.3803145402544259e+00,0.01555892
106,2.3451794960946728e+00,0.01566825
107,2.3215813631473634e+00,0.01577225
108,2.2968617191465519e+00,0.01588367
109,2.2367593247630468e+00,0.01599150
110,2.2140944755430310e+00,0.01608967
111,2.1827633289441506e+00,0.01618983
112,2.1421006106228924e+00,0.01628900
113,2.0990985587443074e+00,0.01639275
114,2.0590187957392541e+00,0.01649721
115,2.0274411145333788e+00,0.01659512
116,1.9982170799272430e+00,0.01670167
117,1.9658510013156192e+00,0.01680458
118,1.9228576414851966e+00,0.01690050
119,1.8913221642871678e+00,0.01699667
120,1.8558012377309416e+00,0.01709383
121,1.7969983743813773e+00,0.01719000
122,1.7497953838912919e+00,0.01728575
123,1.7120422097511532e+00,0.01738142
124,1.6763345504812754e+00,0.01748133
125,1.6405262801466565e+00,0.01757692
126,1.5823230295837623e+00,0.01767271
127,1.5352318979656834e+00,0.01776887
128,1.4952107727685693e+00,0.01786987
129,1.4519746115526484e+00,0.01796558
130,1.4164731169604987e+00,0.01806175
131,1.3764291129093746e+00,0.01815700
132,1.3459233444119056e+00,0.01825229
133,1.3145001604559097e+00,0.01834837
134,1.2849857895278418e+00,0.01845308
135,1.2517665802029465e+00,0.01854546
136,1.2272886406691403e+00,0.01864217
137,1.2051883884335144e+00,0.01873758
138,1.2007164896026976e+00,0.01883313
139,1.1529481076475516e+00,0.01893600
140,1.1401628071630443e+00,0.01903175
141,1.1184759215285185e+00,0.01912712
142,1.0886716233817915e+00,0.01922263
143,1.0694470743030697e+00,0.01936821
144,1.0402974669771159e+00,0.01947883
145,1.0210689913567699e+00,0.01957854
146,1.0007491237733108e+00,0.01967417
147,9.8874900249127240e-01,0.01976987
148,9.7576174039143249e-01,0.01986938
149,9.6269935316274058e-01,0.01996187
150,9.5267314587313501e-01,0.02005729
151,9.4469170707495964e-01,0.02016075
152,9.2664405808511763e-01,0.02025596
153,9.2105063978054824e-01,0.02035196
154,9.1197182632985618e-01,0.02044792
155,9.0221091678952159e-01,0.02056037
156,8.9343430440308280e-01,0.02066308
157,8.8684374872915617e-01,0.02076754
158,8.7889517789155014e-01,0.02086663
159,8.7139566604503194e-01,0.02096717
