epoch,frame,norm_fu,norm_imp,loss,walltime,memory,error_u,error_k
0,0,6.588477611541748,0.7623419165611267,43.98920440673828,1.7507410049438477,493.78125,0.36418474,2.4940054
1,1,6.588477611541748,0.7623419165611267,43.98920440673828,3.01717209815979,609.609375,0.3626957,2.5072622
2,1,6.494157314300537,0.7563768029212952,42.746185302734375,3.022146224975586,607.21875,0.36136872,2.5204837
3,1,6.418514728546143,0.7526741623878479,41.763851165771484,3.0270233154296875,607.21875,0.36025396,2.5334425
4,1,6.307214736938477,0.7489604949951172,40.34190368652344,3.0317254066467285,607.234375,0.35929573,2.546459
5,1,6.223713397979736,0.7453811764717102,39.290199279785156,3.036508560180664,607.234375,0.35831723,2.5594194
6,1,6.1322102546691895,0.7421196103096008,38.154747009277344,3.04152250289917,607.25,0.35731372,2.5723317
7,1,6.031754493713379,0.7390459179878235,36.928253173828125,3.0463407039642334,607.25,0.3562783,2.5852742
8,1,5.939610004425049,0.7359638214111328,35.82061004638672,3.050990581512451,607.25,0.35522977,2.5982392
9,1,5.855145454406738,0.7327425479888916,34.81964111328125,3.0555906295776367,607.25,0.35418883,2.6111786
200,1,0.3678634464740753,0.32817691564559937,0.2430236041545868,3.8883121013641357,586.46875,0.16578884,3.7376454
400,1,0.14538882672786713,0.2661339342594147,0.09196518361568451,4.771182298660278,568.390625,0.13620348,3.74369
600,1,0.14207275211811066,0.2573789358139038,0.08642858266830444,5.71162748336792,427.5625,0.13191757,3.576742
800,1,0.13815204799175262,0.24825133383274078,0.08071471005678177,6.580921173095703,418.9375,0.12744048,3.3300781
1000,1,0.1323624700307846,0.23379157483577728,0.07217831909656525,7.419680833816528,419.375,0.12057888,2.9786034
1200,1,0.12194190919399261,0.20878542959690094,0.05846118927001953,8.270020961761475,419.625,0.10910826,2.4554105
1400,1,0.09250283241271973,0.1523224413394928,0.03175889700651169,9.10353946685791,419.640625,0.08391694,1.5219406
1600,1,0.04956333339214325,0.08327853679656982,0.009391838684678078,9.936315536499023,419.671875,0.05325044,0.7502856
1800,1,0.03338361904025078,0.06416120380163193,0.005231126211583614,10.76773738861084,419.671875,0.04389918,0.5321524
2000,1,0.030465086922049522,0.0611395388841629,0.004666164983063936,11.59755802154541,419.828125,0.042178012,0.48692122
2200,1,0.029270432889461517,0.05952836200594902,0.004400384146720171,12.427427530288696,419.84375,0.04151543,0.48314372
2400,1,0.028171803802251816,0.0579133965075016,0.004147612024098635,13.329837083816528,278.359375,0.040999547,0.49152008
2600,1,0.027011720463633537,0.0562254898250103,0.003890938824042678,14.282917261123657,236.6875,0.040503643,0.50538296
2800,1,0.0257695522159338,0.05447690561413765,0.0036318032070994377,15.171560287475586,165.0,0.040009994,0.5237433
3000,1,0.024450909346342087,0.05269598588347435,0.0033747139386832714,16.051815032958984,167.015625,0.039525133,0.5469803
3200,1,0.023078419268131256,0.0509302094578743,0.0031264997087419033,16.932356595993042,166.828125,0.039064713,0.57561755
3400,1,0.02169233188033104,0.049246080219745636,0.002895733807235956,17.76783537864685,167.140625,0.03864902,0.6098206
3600,1,0.020350178703665733,0.04772081971168518,0.0026914062909781933,18.61545705795288,167.015625,0.038298126,0.64893657
3800,1,0.019118376076221466,0.04642358049750328,0.00252066133543849,19.45150876045227,166.421875,0.038024783,0.6911095
4000,1,0.018054867163300514,0.0453917533159256,0.002386389533057809,20.287092924118042,167.875,0.037828147,0.73331654
4200,2,0.01719142310321331,0.044617947190999985,0.0022863063495606184,21.130585432052612,201.53125,0.037692867,0.7720059
4400,2,0.016650337725877762,0.044056255370378494,0.0022181873209774494,21.967861652374268,202.28125,0.03759511,0.8041861
4600,2,0.01603732630610466,0.04364723339676857,0.0021622770000249147,22.804038524627686,202.859375,0.037509713,0.827608
4800,2,0.015674876049160957,0.0433260053396225,0.002122844336554408,23.74391460418701,190.765625,0.037419356,0.84270585
5000,2,0.01544992346316576,0.04305128753185272,0.002092113485559821,24.629846572875977,184.859375,0.03731227,0.849726
5200,2,0.01608967036008835,0.04279397800564766,0.002090201945975423,25.48311972618103,184.125,0.037184056,0.84981483
5400,2,0.015034797601401806,0.04253267124295235,0.0020350732374936342,26.334018230438232,184.34375,0.03703183,0.84504116
5600,2,0.015297632664442062,0.04225801303982735,0.0020197571720927954,27.17906355857849,183.1875,0.036859248,0.8365736
