epoch,frame,norm_fu,norm_fu_mg1,loss,walltime,memory,error_u,rel_error_u,residual_u,weight_pde,weight_mg
60,1,1126.9465713792451,707.2189568845683,1770167.227720333,0.5503644943237305,396.125,0.22816813139935863,0.4712900212188258,1113.511591030499,1.0,1.0
70,1,999.0758013172035,606.1248424072679,1365539.7813608476,0.5529158115386963,396.15625,0.21347636977970308,0.44094362444989976,987.041130726411,1.0,1.0
80,1,884.6581094139246,520.439070316793,1053476.7964640274,0.5554060935974121,396.171875,0.20230088381374095,0.4178602298245109,873.9351787386923,1.0,1.0
90,1,783.0816758262312,447.01351038353215,813037.9894802268,0.5580761432647705,396.171875,0.19376765837309143,0.40023452559349465,773.5983139751728,1.0,1.0
100,1,693.3867950604997,383.6860415500524,628000.22604462,0.560732364654541,396.21875,0.18678904128653667,0.38581992450687813,685.0156621779001,1.0,1.0
110,2,614.1402105115369,329.3818397772249,485660.5945421843,0.5637636184692383,408.09375,0.18044111101810173,0.3727080312176704,606.7383688026794,1.0,1.0
120,2,544.0558091126378,283.1783290708629,376186.68948457285,0.5662877559661865,408.09375,0.1742824911719648,0.3599871658620946,537.5100372362224,1.0,1.0
130,2,482.10219361012804,243.9718285228307,291944.7781964709,0.5687747001647949,408.09375,0.16823044565211726,0.34748643386252376,476.31817635527665,1.0,1.0
140,2,427.3616221627019,210.76435940332493,227059.57129222987,0.5713510513305664,408.09375,0.1623057538620075,0.33524875587326675,422.2510030177995,1.0,1.0
150,2,378.988735220884,182.7132966088135,177016.61018198557,0.57387375831604,408.109375,0.15656321921063682,0.32338733043626144,374.47170403654485,1.0,1.0
160,2,336.2269576019355,159.09099558178812,138358.51189345826,0.5764119625091553,408.125,0.151062824973515,0.31202605530626604,332.2328687124045,1.0,1.0
170,2,298.41668614627895,139.24092714057898,108440.55436149477,0.5790402889251709,408.125,0.14584123368545418,0.3012406583542308,294.8881336049046,1.0,1.0
180,2,264.9841347443817,122.58367428303785,85243.34886695858,0.58154296875,408.140625,0.14092959217794088,0.29109547455446677,261.86128346246306,1.0,1.0
190,2,235.4196930051551,108.61553281159537,67219.76582258822,0.5840866565704346,408.15625,0.1363408037387915,0.281617156142549,232.6583797365834,1.0,1.0
