epoch,frame,norm_cont,norm_mom_u,norm_mom_v,norm_p_gauge,loss,walltime,memory,div_rms,umax,umin,vmax,vmin,speed_max
0,0,0.0,4.096000671386719,0.0,0.0,16.777219772338867,0.6568012237548828,379.890625,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,4.096000671386719,0.0,0.0,16.777219772338867,0.9512732028961182,420.0,1.1054247295305686e-08,0.00700388802215457,-0.0009960934985429049,0.0,0.0,0.00700388802215457
2,1,0.023962195962667465,4.061831951141357,0.005591174587607384,6.628270377007084e-09,16.49908447265625,0.9554479122161865,421.453125,0.04302746802568436,0.014005814678966999,-0.003181904088705778,0.005208427552133799,-0.005016837269067764,0.014942895621061325
3,1,0.11291118711233139,4.027570724487305,0.04560141637921333,1.6088764098753927e-08,16.23615264892578,0.959622859954834,429.9375,0.06409811973571777,0.02100680023431778,-0.0036328735295683146,0.004008864518254995,-0.004522413015365601,0.02128051221370697
4,1,0.08583100140094757,3.9943902492523193,0.04612240195274353,2.0680268164596782e-08,15.964648246765137,0.9635217189788818,431.078125,0.07665977627038956,0.028002751991152763,-0.0047637117095291615,0.004632024560123682,-0.0036725937388837337,0.02830595336854458
5,1,0.12033155560493469,3.983386993408203,0.057674188166856766,2.687933076117588e-08,15.885178565979004,0.9674866199493408,431.109375,0.08013443648815155,0.034996189177036285,-0.0054001761600375175,0.008060834370553493,-0.003955916967242956,0.03584946691989899
6,1,0.12968498468399048,3.925211191177368,0.06077093258500099,3.244882051944842e-08,15.42779541015625,0.9713404178619385,431.125,0.08420777320861816,0.041980497539043427,-0.006290283519774675,0.011243665590882301,-0.004574451595544815,0.0433417372405529
7,1,0.14828220009803772,3.8904333114624023,0.06336193531751633,3.7890810489216165e-08,15.161474227905273,0.9754395484924316,431.125,0.08686818927526474,0.04895744472742081,-0.007015279494225979,0.01394403912127018,-0.005520989652723074,0.05071710795164108
8,1,0.17464131116867065,3.855607032775879,0.06522731482982635,4.339518611118365e-08,14.900459289550781,0.9799404144287109,431.421875,0.09570857137441635,0.05592828989028931,-0.007430824916809797,0.016187220811843872,-0.006749880500137806,0.057944055646657944
9,1,0.20414932072162628,3.8208699226379395,0.07230539619922638,4.902452133137558e-08,14.645952224731445,0.9840373992919922,431.46875,0.10758466273546219,0.06289183348417282,-0.00830980483442545,0.018065446987748146,-0.008181555196642876,0.06502373516559601
