epoch,total,pde,bound,init,data,u_rmse,u_rel_max,k_rmse,k_rel_max
1,0.6033025979995728,0.015556910075247288,0.023690178990364075,0.18336331844329834,0.09517304599285126,0.273100247257718,0.27402219352172824,0.030484950709050506,1.5244399982394272
500,0.013652676716446877,0.0014586490578949451,0.00035284023033455014,0.004075106233358383,0.0019415202550590038,0.05173619216512093,0.05191084593991499,0.007803172927374678,0.3902079106900908
1000,0.006216949783265591,0.0009902421152219176,1.7363701772410423e-05,0.000654996489174664,0.0011385869001969695,0.042100306776456944,0.04224243121953595,0.007982136843149107,0.3991572363443093
1500,0.003794582560658455,0.0005485438741743565,4.01395809603855e-05,0.00043988291872665286,0.0006915040430612862,0.03772080632389739,0.03784814621763595,0.00862297604346949,0.43120324221559736
2000,0.0027643246576189995,0.00042584494804032147,3.007967461599037e-05,0.00022290977358352393,0.0005213725380599499,0.03511604845280177,0.03523459506710532,0.00914711771619211,0.4574136349522753
2500,0.0023390790447592735,0.00044835612061433494,8.668257578392513e-06,0.0001030142157105729,0.00044476010953076184,0.03334213550008876,0.03345469364519151,0.009233777518554422,0.4617471721858261
3000,0.0020035000052303076,0.0003302971599623561,1.1104054465249646e-05,7.74161599110812e-05,0.0003961706825066358,0.03189047103296617,0.031998128572355455,0.009072467251515167,0.45368064042239054
3500,0.0018251636065542698,0.00030788721051067114,2.2262005586526357e-05,6.238913192646578e-05,0.00035815630690194666,0.030833690081502937,0.030937780083843604,0.008771160826489278,0.4386134169120167
4000,0.0016898142639547586,0.0003078781592193991,8.183553291019052e-06,5.2636838518083096e-05,0.0003302789409644902,0.029503549180769754,0.029603148823081998,0.008529864421892587,0.42654707328859226
4500,0.0013532682787626982,0.00021619380277115852,2.0488678273977712e-05,3.988842581748031e-05,0.0002691743429750204,0.028396953490879402,0.028492817428913426,0.008287174007135658,0.4144110203562534
5000,0.0011935851071029902,0.0001874645531643182,3.748525614355458e-06,4.2504154407652095e-05,0.00023996696108952165,0.027328456492627728,0.027420713341962506,0.00804074277720528,0.40208790304809006
