t,x,u
0.5859375,0.8984375,0.00040282420377479866
0.5859375,0.9765625,1.3651447488882695e-05
0.6015625,0.0078125,4.342875058682694e-06
0.6015625,0.0703125,0.00011299759171379264
0.6015625,0.3515625,0.4569324776530266
0.6015625,0.3671875,0.48068922758102417
0.6015625,0.3828125,0.5036673694849014
0.6015625,0.5234375,0.6159900277853012
0.6015625,0.5546875,0.5871503949165344
0.6015625,0.6171875,0.503667339682579
0.6015625,0.6484375,0.4569324851036072
0.6015625,0.6953125,0.37777627259492874
0.6015625,0.9453125,5.7664531595946755e-05
0.6171875,0.1015625,0.0004053295269841328
0.6171875,0.2890625,0.34840482473373413
0.6171875,0.3828125,0.502688005566597
0.6171875,0.4765625,0.6101363152265549
0.6171875,0.5078125,0.6163718998432159
0.6171875,0.5703125,0.5650771111249924
0.6171875,0.7109375,0.34840481728315353
0.6171875,0.7421875,0.27120038121938705
0.6328125,0.0078125,4.346129401255894e-06
0.6328125,0.1171875,0.0007419216126436368
0.6328125,0.1484375,0.0023063155240379274
0.6328125,0.1953125,0.010796964634209871
0.6328125,0.3359375,0.4328375980257988
0.6328125,0.4140625,0.5430145710706711
0.6328125,0.4296875,0.5620142072439194
0.6328125,0.4765625,0.6045435518026352
0.6328125,0.5234375,0.6045435518026352
0.6328125,0.6640625,0.4328375980257988
0.6328125,0.8359375,0.003933694795705378
0.6328125,0.8515625,0.0023063155240379274
0.6484375,0.0859375,0.00021839156033820473
0.6484375,0.1484375,0.0023123418213799596
0.6484375,0.2265625,0.14491718634963036
0.6484375,0.3046875,0.3812418580055237
0.6484375,0.3671875,0.4790269583463669
0.6484375,0.4453125,0.5753740668296814
0.6484375,0.5703125,0.5589621812105179
0.6484375,0.7421875,0.2777729853987694
0.6484375,0.9453125,5.833398154209135e-05
0.6484375,0.9765625,1.3842598946212092e-05
0.6640625,0.1171875,0.0007462246430804953
0.6640625,0.3984375,0.519395262002945
0.6640625,0.4921875,0.599080502986908
0.6640625,0.5703125,0.5559302270412445
0.6640625,0.6015625,0.5193952322006226
0.6640625,0.6328125,0.4783351495862007
