epoch,frame,norm_fu,norm_init,norm_fimp,norm_vx_lap,norm_vy_lap,norm_vx_t,norm_vy_t,loss,walltime,memory,error_u_t0,error_u_t1,weight_pde,weight_init,weight_data,weight_smooth,weight_time
0,0,2.378678321838379,2.378678321838379,23.727317810058594,0.0,0.0,0.0,0.0,574.3018188476562,1.087110996246338,412.015625,0.29964867,0.29889962,1.0,1.0,10.0,0.01,1.0
1,1,2.378678321838379,2.378678321838379,23.727317810058594,0.0,0.0,0.0,0.0,574.3018188476562,1.3577699661254883,464.921875,0.2794699,0.28277183,1.0,1.0,10.0,0.01,1.0
2,1,2.219590902328491,2.218494415283203,22.173011779785156,0.0,0.0,0.0,0.0,501.4907531738281,1.4660060405731201,499.53125,0.2595402,0.26393884,1.0,1.0,10.0,0.01,1.0
3,1,2.087455987930298,2.0602874755859375,20.57343864440918,0.37221819162368774,0.37528836727142334,0.08237684518098831,0.074089914560318,432.1602478027344,1.583780288696289,512.96875,0.23933922,0.24519919,1.0,1.0,10.0,0.01,1.0
4,1,1.9633386135101318,1.8999286890029907,19.042333602905273,0.8608973622322083,0.9450110197067261,0.3462173044681549,0.30409789085388184,371.9214172363281,1.6998960971832275,522.484375,0.22024009,0.22656474,1.0,1.0,10.0,0.01,1.0
10,1,1.167292833328247,1.052032709121704,10.790371894836426,0.5864554643630981,0.6552810668945312,0.26706215739250183,0.2525154650211334,119.80987548828125,2.3615341186523438,542.875,0.11732615,0.12679979,1.0,1.0,10.0,0.01,1.0
20,1,0.6222935318946838,0.3285190165042877,3.926811695098877,0.33370667695999146,0.36574018001556396,0.19434359669685364,0.19085873663425446,16.234346389770508,3.4409022331237793,539.90625,0.040726617,0.052558556,1.0,1.0,10.0,0.01,1.0
30,1,0.5791951417922974,0.3421340584754944,3.298994779586792,0.20927761495113373,0.22112901508808136,0.14128431677818298,0.13077662885189056,11.46564769744873,4.614763259887695,542.546875,0.042027365,0.04405228,1.0,1.0,10.0,0.01,1.0
40,1,0.42144641280174255,0.19648504257202148,2.0489578247070312,0.1658489853143692,0.15231147408485413,0.11450857669115067,0.09680500626564026,4.487639427185059,5.7062907218933105,542.125,0.022779329,0.02841208,1.0,1.0,10.0,0.01,1.0
50,1,0.31672531366348267,0.09452364593744278,1.1211551427841187,0.12367642670869827,0.12839213013648987,0.08797863870859146,0.07105110585689545,1.4108073711395264,6.760843515396118,555.734375,0.01142567,0.017299496,1.0,1.0,10.0,0.01,1.0
