epoch,total,pde,bc,rmse,rel_rmse
1,18663.387865034998,18659.34634153754,0.04041523497455556,0.47233754012506024,1.0159836051837197
100,20097.61996956441,20064.358626248344,0.33261343316066067,0.6637320327228173,1.4276673061029663
200,22296.788257872817,22212.733553256054,0.8405470461676421,0.9051877476069612,1.9470311653364565
300,7506.194333335769,7437.815106630072,0.6837922670569818,0.6914948638987707,1.487384307001908
400,1273.5883627043156,1246.4565510529976,0.27131811651318094,0.4517494169733633,0.9716991818493194
500,171.29942195991816,148.82183396276508,0.22477587997153073,0.2698572131190718,0.5804546134464649
600,93.09244055503403,75.12996812580458,0.17962472429229448,0.23338757694531934,0.5020095412429358
700,66.84384782894071,50.766923792382514,0.160769240365582,0.20683505360765694,0.44489587549411475
800,54.570421873564605,40.82986760197162,0.13740554271592986,0.19282001015380912,0.4147499455913661
900,46.15547078812801,33.14050934862517,0.1301496143950283,0.1783450555367266,0.3836147608401383
1000,42.90585640846907,31.678039160351748,0.11227817248117321,0.1664004117986742,0.35792219741524406
1100,30.385466541118635,20.80048346777852,0.09584983073340116,0.15721972820988483,0.33817482775218566
1200,28.06229924545965,18.492456055099794,0.09569843190359856,0.14629349370789888,0.3146728314521006
1300,22.672150140606963,14.888376502208708,0.07783773638398256,0.14117498488187788,0.3036630754863804
1400,21.052025939159023,13.587042014528556,0.07464983924630467,0.1355237184159794,0.29150737412849725
1500,17.120693108002776,10.100848557363726,0.0701984455063905,0.13004890294984614,0.2797312134754081
1600,14.997785840155517,8.630017333121152,0.06367768507034365,0.12340129937265416,0.2654324214581581
1700,13.259912524852654,8.453306236722199,0.04806606288130455,0.119236536864278,0.25647414465705165
1800,11.993129584119023,7.095350025280028,0.04897779558838995,0.11378173708900997,0.24474103714295317
1900,11.966953355628265,7.150982116212765,0.048159712394155,0.10745148808473261,0.23112486510764652
2000,9.55594454296341,5.669953821619459,0.038859907213439515,0.10274710607173745,0.22100588325314735
2100,10.932834538882497,7.594777289154938,0.03338057249727559,0.09899746059138544,0.21294051048544352
2200,9.113566570955882,5.785767130427837,0.03327799440528045,0.09134989826650229,0.19649083777968152
2300,7.473397011164456,4.470233559452999,0.03003163451711458,0.0865104151262127,0.18608125753163385
2400,9.44142151668118,6.630386369612491,0.028110351470686887,0.0819615165067577,0.1762967157021077
2500,6.031992926202281,3.839397624479853,0.02192595301722428,0.07726444286141367,0.16619345392294327
2600,6.080618313908281,4.286918368772567,0.017936999451357138,0.07459295485084494,0.16044716490373032
2700,10.082319448996019,8.05249043921197,0.020298290097840482,0.06916114475810933,0.14876350749375675
2800,5.394853809710783,3.635838201153614,0.017590156085571695,0.06548029323351719,0.14084610842123974
2900,4.991657075539875,3.4223068259567437,0.01569350249583131,0.06081586206502621,0.13081305961161085
3000,5.661943273197726,4.2671149489287785,0.013948283242689475,0.06312885755375885,0.1357882421787091
3100,4.571876592977866,3.315652723341573,0.012562238696362936,0.057182085825679047,0.1229969180381391
3200,4.183703505838274,2.7548061324191924,0.01428897373419082,0.05356217247392202,0.11521059511196001
3300,4.9676092990851775,3.9140594692131243,0.01053549829872053,0.04966550480280806,0.10682898210772368
3400,3.2552480781356428,2.1934277866923177,0.010618202914433252,0.04698199785879253,0.101056840730194
3500,2.542471621523072,1.7376736138009752,0.008047980077220967,0.04744627930164941,0.10205549591650152
3600,2.714787582161578,1.9029597246244798,0.00811827857537098,0.042450315256360574,0.09130933002683526
3700,2.6438154349763403,2.0303075312518373,0.006135079037245029,0.04097678535559758,0.08813981226941371
3800,3.2901322476885517,2.7057965074862853,0.005843357402022666,0.03820257431399746,0.08217256915162319
3900,5.41257432807587,4.867949177615545,0.005446251504603248,0.03756485771713233,0.08080086025252324
4000,2.0596990806772,1.5019699907896626,0.005577290898875373,0.03504616147706619,0.07538322165943671
4100,2.924324961549461,2.52162231455207,0.0040270264699739065,0.03164971225915407,0.06807756325184089
4200,3.2113743214773356,2.7869911825420135,0.004243831389353221,0.03088251955643004,0.06642735520829257
4300,1.8373581643786632,1.4750030952556759,0.0036235506912298725,0.030385654043490997,0.06535861268362766
4400,1.7062879569991858,1.4384563999526108,0.002678315570465749,0.030996644872546993,0.0666728352734183
4500,1.5780763804668383,1.2706629216033096,0.003074134588635287,0.027923398856881852,0.0600623770706143
4600,1.516122365568515,1.2389030308675124,0.002772193347010026,0.025766647439399902,0.055423270722983656
4700,1.2913513298789558,1.034866917244423,0.002564844126345328,0.024498977629622012,0.05269655172626852
4800,1.2829203407054044,1.051243832223799,0.002316765084816055,0.024216726995289335,0.05208943924277043
4900,9.526828087517478,9.2867792201853,0.002400488673321769,0.02353685293335968,0.0506270509254512
5000,2.0282822089886583,1.8109917630211652,0.0021729044596749333,0.02238678682630235,0.04815329389708047
