epoch,frame,norm_fu,norm_init,norm_fimp,norm_vx_lap,norm_vy_lap,norm_vx_t,norm_vy_t,loss,walltime,memory,error_u_t0,error_u_t1,weight_pde,weight_init,weight_data,weight_smooth,weight_time
80,1,0.20192088186740875,0.023526983335614204,0.23970581591129303,0.10644318908452988,0.09933621436357498,0.05833076685667038,0.030915969982743263,0.12434054911136627,10.026699542999268,496.078125,0.0028212906,0.0064076576,1.0,1.0,10.0,0.01,1.0
90,1,0.1859128326177597,0.013147881254553795,0.13763277232646942,0.10465972870588303,0.10049512982368469,0.05932077392935753,0.029810598120093346,0.07913978397846222,11.120687484741211,496.265625,0.0015798787,0.0058011413,1.0,1.0,10.0,0.01,1.0
100,1,0.17430758476257324,0.009383351542055607,0.09843379259109497,0.10113213956356049,0.10072527080774307,0.05960773676633835,0.028866812586784363,0.06492006033658981,12.219114065170288,490.984375,0.0011389565,0.0060464963,0.5854354997243697,2.5232379198910415,7.7904956083383805,0.007693596480646254,1.1294532309288396
110,2,0.11958587169647217,0.23869796097278595,0.04509490355849266,0.06516477465629578,0.06815444678068161,0.04259110614657402,0.016244610771536827,0.08428040146827698,13.318331003189087,513.09375,0.0076027596,0.007785508,0.5854354997243697,2.5232379198910415,7.7904956083383805,0.007693596480646254,1.1294532309288396
120,2,0.11237574368715286,0.11066766828298569,0.028437556698918343,0.061168868094682693,0.0647435188293457,0.03882762789726257,0.015038250014185905,0.03535142168402672,14.425990104675293,516.546875,0.0049421587,0.007960055,0.5854354997243697,2.5232379198910415,7.7904956083383805,0.007693596480646254,1.1294532309288396
130,2,0.11069793254137039,0.07018385827541351,0.01860085316002369,0.059031061828136444,0.06282556802034378,0.03696095198392868,0.01449421513825655,0.026533709838986397,15.664371967315674,505.703125,0.0028580737,0.00789326,0.5854354997243697,2.5232379198910415,7.7904956083383805,0.007693596480646254,1.1294532309288396
140,2,0.10994602739810944,0.036087650805711746,0.009342730045318604,0.05764463171362877,0.06176941841840744,0.03529411926865578,0.01354018971323967,0.022045111283659935,16.800204515457153,512.9375,0.0017377601,0.008486352,0.5854354997243697,2.5232379198910415,7.7904956083383805,0.007693596480646254,1.1294532309288396
150,2,0.10921801626682281,0.019839484244585037,0.006635209079831839,0.056861065328121185,0.061176978051662445,0.03470734879374504,0.013147137127816677,0.020719457417726517,17.914976119995117,511.328125,0.0012046315,0.008434937,0.5854354997243697,2.5232379198910415,7.7904956083383805,0.007693596480646254,1.1294532309288396
160,2,0.10853451490402222,0.014975273981690407,0.004316437523812056,0.05646909028291702,0.060742806643247604,0.03425602242350578,0.012869905680418015,0.020240187644958496,19.11821937561035,422.203125,0.00060629094,0.008608215,0.5854354997243697,2.5232379198910415,7.7904956083383805,0.007693596480646254,1.1294532309288396
170,2,0.10799030214548111,0.008098655380308628,0.003594451118260622,0.05610430985689163,0.06039997562766075,0.03374975919723511,0.012634004466235638,0.019834930077195168,20.259344339370728,428.03125,0.00036852315,0.008752814,0.5854354997243697,2.5232379198910415,7.7904956083383805,0.007693596480646254,1.1294532309288396
