epoch,loss,pde,cont,mom,bc,data,eik,err_u,err_chi,kphi
1,3.8010392358386156,3.8010392358386156,0.0,3.8010392358386156,0.0,0.0,0.0,0.0,0.0,10.0
200,2.2300929355404318,2.229225619530824,0.02244535738007516,2.206780262150749,0.0008673160096078061,0.0,0.0,0.04923545823692638,0.0,8.711541921422562
400,1.387111249834021,1.3852738946927357,0.032510887787374876,1.3527630069053609,0.0018373551412853204,0.0,0.0,0.09412131080132717,0.0,7.58383772687221
600,0.8658504014846135,0.8635748987782955,0.034515016719364265,0.8290598820589312,0.0022755027063179416,0.0,0.0,0.13460337862946586,0.0,6.602114205075001
800,0.5407658137562366,0.5375952596198776,0.033245828063401935,0.5043494315564757,0.0031705541363589345,0.0,0.0,0.17028191218111033,0.0,5.747474240173385
1000,0.3420810443453784,0.3373186675976871,0.03057498388698267,0.30674368371070443,0.0047623767476913225,0.0,0.0,0.2010835447063241,0.0,5.003466937312904
1200,0.22341792525326656,0.2166309061745924,0.027435077542157925,0.18919582863243448,0.006787019078674149,0.0,0.0,0.22718386805514182,0.0,4.355770960711281
1400,0.15364371178645517,0.14467745704825463,0.024175307262181873,0.12050214978607275,0.00896625473820053,0.0,0.0,0.24898138197588673,0.0,3.791918863436105
1600,0.11263652564114517,0.10163972537220722,0.021257366169591507,0.08038235920261572,0.010996800268937937,0.0,0.0,0.266980879993875,0.0,3.3010571025375004
1800,0.0881187802891583,0.07544523606328861,0.01877689012699783,0.05666834593629078,0.012673544225869698,0.0,0.0,0.28176135317906154,0.0,2.8737371200866924
2000,0.07282758643486412,0.05889013910534355,0.01675076103133507,0.04213937807400848,0.013937447329520567,0.0,0.0,0.2939090527925254,0.0,2.501733468656451
2200,0.06282362707749026,0.04801159086600613,0.015113404369623685,0.032898186496382445,0.014812036211484133,0.0,0.0,0.3039719604298891,0.0,2.177885480355641
2400,0.055819335667110725,0.04046524353507936,0.013791725802447627,0.026673517732631734,0.015354092132031365,0.0,0.0,0.3124282764942268,0.0,1.8959594317180526
2600,0.05056880328155649,0.03497438990247577,0.012717350352593224,0.02225703954988255,0.015594413379080718,0.0,0.0,0.31965996405328667,0.0,1.6505285512687502
2800,0.04649189882246441,0.03086476352837553,0.01182529081611671,0.019039472712258823,0.015627135294088882,0.0,0.0,0.3259536917686688,0.0,1.4368685600433462
3000,0.043180707302025445,0.02765967388646954,0.011077173126755333,0.016582500759714205,0.015521033415555906,0.0,0.0,0.331523588126244,0.0,1.2508667343282256
3200,0.040456510785337144,0.0251451400375125,0.01043915342386001,0.01470598661365249,0.01531137074782464,0.0,0.0,0.3365317041216008,0.0,1.0889427401778204
3400,0.038138171635056464,0.023072710000569718,0.00988897609702335,0.013183733903546367,0.015065461634486743,0.0,0.0,0.3410901702214487,0.0,1.0
3600,0.03610328665255087,0.021371979989068056,0.009408303353633074,0.01196367663543498,0.014731306663482813,0.0,0.0,0.3452827564285251,0.0,1.0
3800,0.034223535705851654,0.019869892017426772,0.008983434795753146,0.010886457221673628,0.014353643688424886,0.0,0.0,0.3491757064000781,0.0,1.0
4000,0.03267372963303082,0.01866436610167378,0.00860539656064863,0.01005896954102515,0.014009363531357042,0.0,0.0,0.35281334705342654,0.0,1.0
4200,0.031247209797303027,0.01758217226107226,0.008265511639647064,0.009316660621425199,0.013665037536230768,0.0,0.0,0.3562301388010695,0.0,1.0
4400,0.029954528897952838,0.016655585207245232,0.007955987119359546,0.008699598087885686,0.013298943690707605,0.0,0.0,0.35945053728029297,0.0,1.0
4600,0.028808991485385193,0.015842459440058264,0.007673994200256093,0.008168465239802173,0.012966532045326929,0.0,0.0,0.36250680502150623,0.0,1.0
4800,0.027763850847553857,0.015121736500234826,0.007412963934678383,0.007708772565556444,0.01264211434731903,0.0,0.0,0.36541398842829653,0.0,1.0
5000,0.026787679412996403,0.014465873328936474,0.007175044910871136,0.007290828418065338,0.01232180608405993,0.0,0.0,0.3681891825688711,0.0,1.0
5200,0.025793664454209858,0.013816614419603026,0.006950083694496471,0.006866530725106555,0.01197705003460683,0.0,0.0,0.3708422757938553,0.0,1.0
5400,0.024987330383148078,0.013307179989949037,0.006741729989240187,0.006565450000708849,0.01168015039319904,0.0,0.0,0.3733878348268824,0.0,1.0
5600,0.024174485559401382,0.01278542832179589,0.006544540706745394,0.006240887615050497,0.011389057237605492,0.0,0.0,0.3758319679291428,0.0,1.0
5800,0.02340944874845068,0.012312258051701701,0.006360035992871481,0.005952222058830219,0.011097190696748978,0.0,0.0,0.37818798957834454,0.0,1.0
6000,0.022743421323108942,0.011910296454429349,0.006186665686681412,0.005723630767747937,0.010833124868679591,0.0,0.0,0.3804625241028952,0.0,1.0
6200,0.022059294318296365,0.011478245991228712,0.006020744877175539,0.005457501114053172,0.010581048327067653,0.0,0.0,0.38265882953047126,0.0,1.0
6400,0.021494576514833514,0.011152617012475153,0.005864261107664765,0.005288355904810389,0.010341959502358361,0.0,0.0,0.3847823625726705,0.0,1.0
6600,0.02086426245289211,0.010771453374645445,0.005715032759433855,0.00505642061521159,0.010092809078246666,0.0,0.0,0.38684141390408255,0.0,1.0
6800,0.02033612381563322,0.010459566558746199,0.005574458609347173,0.004885107949399025,0.009876557256887018,0.0,0.0,0.38884247947039563,0.0,1.0
7000,0.019770930679962582,0.01012379399903848,0.005439976210131896,0.004683817788906584,0.009647136680924102,0.0,0.0,0.39078529578826177,0.0,1.0
