epoch,frame,norm_fu,loss,walltime,memory,error_u,rel_error_u,residual_u
0,0,145.67033261538555,21219.845804277058,0.3523268699645996,357.640625,0.4678124815479181,1.0,145.67033261538552
1,1,145.67033261538555,21219.845804277058,0.46286582946777344,403.25,0.4570643304029028,0.9770246593048322,170.2214304908016
2,1,170.22143049080154,28975.335398334784,0.46316075325012207,403.25,0.4511183311008072,0.9643144398544635,142.3813418386014
3,1,142.38134183860143,20272.446503760675,0.46340370178222656,403.25,0.4453738538580206,0.9520349956981661,151.55500865716365
4,1,151.55500865716368,22968.92064907296,0.4636657238006592,403.25,0.4396771243360301,0.9398576174821319,152.39020385413977
5,1,152.3902038541397,23222.77423070626,0.4639136791229248,403.25,0.4339591223798094,0.9276347671270051,140.08715541698444
6,1,140.08715541698442,19624.411112822345,0.4641456604003906,403.265625,0.4282186300490747,0.9153638411531185,132.0695838406246
7,1,132.06958384062457,17442.374975835766,0.464374303817749,403.265625,0.42254134565177837,0.9032280290035344,133.53829234363803
8,1,133.538292343638,17832.475522054927,0.46460819244384766,403.28125,0.41712450294501957,0.8916489392604918,135.16121851015308
9,1,135.16121851015305,18268.554989149343,0.4648401737213135,403.28125,0.412023739803654,0.8807455039257013,131.05132911576385
10,1,131.05132911576385,17174.450863008253,0.4650692939758301,403.296875,0.407166282429054,0.8703621610988331,124.31018650942868
20,1,103.96337209881051,10808.382738155731,0.46720242500305176,403.3125,0.3568269344030756,0.7627563360908868,101.048835264611
30,1,82.3988131318578,6789.564405538822,0.4694979190826416,403.3125,0.3075236179941389,0.6573651412134014,80.26796256989317
40,1,64.51504947452041,4162.191608699816,0.4717838764190674,403.328125,0.2601857160745042,0.5561752333191079,62.770451109619586
50,1,49.6023869895587,2460.396795061942,0.4739060401916504,403.34375,0.21683163308618053,0.4635011711716598,48.32190876086717
60,1,37.401826654975956,1398.8966371288698,0.4761393070220947,403.359375,0.17894125409906722,0.3825063698749095,36.301773953875575
70,1,27.64820466609168,764.4232212580937,0.47826313972473145,403.375,0.1478846299020216,0.3161194618251625,26.805833589175812
80,1,20.07979005754175,403.1979687549525,0.4803934097290039,403.375,0.12425056485682956,0.26559908031034984,19.45825337797372
90,1,15.022347159126824,225.67091416932573,0.48261070251464844,403.390625,0.1076225566787768,0.23005490645027396,14.530136300702639
100,1,10.789342929867779,116.40992085828782,0.4847273826599121,403.40625,0.09675428868173483,0.20682280293503513,10.478556722788813
110,2,8.187356435005062,67.0328053938188,0.4870593547821045,423.34375,0.09003073009964896,0.19245046605373034,7.9967054615292845
120,2,6.6321941732200544,43.98599955129404,0.4891550540924072,423.34375,0.08596674605890293,0.1837632586767511,6.485139582034254
130,2,5.359355785766006,28.722694438423563,0.4914684295654297,423.34375,0.08343275358473325,0.17834657448357802,5.334625475365296
140,2,4.725132928973801,22.32688119647253,0.4936075210571289,423.34375,0.08168091513835875,0.17460182949392333,4.684290451769274
150,2,4.488509206734188,20.146714898937564,0.4958672523498535,423.34375,0.08025953948611182,0.17156348462645887,4.578103197040407
160,2,5.433609960655663,29.524117204536438,0.4979889392852783,423.34375,0.07891477897387589,0.1686889129438344,5.570666847565585
170,2,5.138498524224051,26.404167083452755,0.5001044273376465,423.34375,0.07751729919933023,0.16570164811087906,5.0980203685207925
180,2,4.316687348213231,18.63378966222417,0.5022335052490234,423.359375,0.07601732042196874,0.16249528052445147,4.123218545878693
190,2,3.656303229861082,13.36855330869258,0.5043430328369141,423.375,0.07440617677846387,0.15905128596027515,3.564610341866079
200,2,4.141952630631483,17.155771594395063,0.5064659118652344,423.375,0.0726988236907824,0.15540163325748257,4.447187166486965
210,3,5.3208764735555585,28.311726446837035,0.5089340209960938,434.046875,0.07092372658472187,0.15160717035605034,5.332404361116315
220,3,4.587135193774275,21.041809285962557,0.5111808776855469,434.046875,0.06911097427841575,0.14773221537342993,4.448537910935347
230,3,3.7256854256162573,13.880731890649393,0.5133373737335205,434.0625,0.0672873741264212,0.14383407194219752,3.6333675103066216
240,3,3.7386774067297543,13.977708751591521,0.5154659748077393,434.078125,0.06547259111162287,0.13995477609956952,3.7181089828871507
250,3,4.165296672234191,17.349696367725223,0.5176467895507812,434.078125,0.06368023549147304,0.13612342124939705,4.27903506561375
260,3,6.019431044603686,36.233550100738626,0.5197725296020508,434.078125,0.061919280085079215,0.13235918776728237,5.819390527309396
270,3,3.787498145740964,14.34514220399124,0.5221149921417236,434.09375,0.06019508662553004,0.128673536940173,3.6369107844024704
280,3,3.00696800725173,9.041856596635439,0.5243129730224609,434.09375,0.058510324506130536,0.12507217488624728,2.987198921605112
290,3,4.822049459695976,23.252160991754256,0.5266356468200684,434.09375,0.056867093634989006,0.12155959038720968,4.983721305094071
300,3,4.415866028212828,19.49987277912414,0.5287630558013916,434.109375,0.055266849359617495,0.1181388944064685,4.0533943885755335
310,4,3.7030350726914514,13.712468749582982,0.5310657024383545,451.515625,0.05370983930483848,0.11481061626898251,3.765469209125304
320,4,3.6859547667174697,13.586262542287237,0.5332002639770508,451.515625,0.05219698573557539,0.11157672741621547,3.7520974406352714
330,4,4.878820537765073,23.80288983971827,0.5355780124664307,451.53125,0.05072753689382399,0.10843562088376635,4.535075269441721
340,4,4.722779633774135,22.30464746919175,0.5378167629241943,451.53125,0.04930165736921756,0.10538764849985642,4.869200896192574
350,4,4.337537761752327,18.814233834627387,0.5401265621185303,451.53125,0.04791899622710735,0.10243206010355027,4.175123804234293
360,4,3.567582127951213,12.727642239676904,0.5422534942626953,451.546875,0.046579080765925374,0.09956784524389453,3.5591414258204885
370,4,3.4419228318502215,11.846832780411848,0.5443835258483887,451.546875,0.04528181619506493,0.09679480129566981,3.321135783442675
380,4,3.9612947173311728,15.691855837555856,0.5465590953826904,451.5625,0.04402653215098024,0.09411149528397224,4.003688935017097
390,4,4.110041764547716,16.8924433063265,0.5487310886383057,451.578125,0.042811926628178724,0.09151514403061838,4.108962197271933
400,4,3.8623131366909083,14.917462765855163,0.5509376525878906,451.578125,0.0416377012247935,0.08900510966920096,3.944964578876661
