epoch,loss,pde,cont,mom,bc,data,eik,err_u,err_chi,kphi
1,133.92021595999657,133.83769397309152,7.647543223583041,126.19015074950849,0.0,0.0,0.0008252198690504888,0.4976038863310396,3.9952414387901087,10.0
200,45.217118221844146,45.19289442469351,6.597602273755218,38.5952921509383,0.0034567855684059516,0.0,0.0002736427481933386,0.5025684903894791,3.9812671903554047,8.711541921422562
400,20.42984412659227,20.40338694516558,5.1887059302072736,15.214681014958304,0.013850601297519192,0.0,0.00021918923713266616,0.4661096798241388,3.991896412486036,7.58383772687221
600,11.162599121223868,11.133247981530301,4.16853322090785,6.96471476062245,0.020577972783706492,0.0,0.00020127522774019516,0.4204820828615125,3.9978303494861245,6.602114205075001
800,7.047927348124392,7.019629060995427,3.4448553435077063,3.5747737174877203,0.022556007562559356,0.0,0.00017383221563277958,0.3779961582255929,4.002729878156076,5.747474240173385
1000,4.931329747007757,4.904712332597429,2.899314676482068,2.00539765611536,0.022849683103131846,0.0,0.00015050046965173924,0.3407681707435678,4.0003794167132165,5.003466937312904
1200,3.7276958535496827,3.7019267523954733,2.4654817314365074,1.2364450209589661,0.02304067361796338,0.0,0.0001438077705708199,0.30874765526674475,3.9946116423376807,4.355770960711281
1400,2.9793397283292875,2.9537200233647893,2.106132009890834,0.8475880134739554,0.023339568219612684,0.0,0.0001585779580342191,0.2816567592128756,3.981066857235158,3.791918863436105
1600,2.4685319707673385,2.4424527814737846,1.802655570728962,0.6397972107448224,0.02364738025816702,0.0,0.00022316361808549036,0.25897378835005697,3.960010058900012,3.3010571025375004
1800,2.0888114329643415,2.0604611249248515,1.542727416286747,0.5177337086381046,0.023816059462858096,0.0,0.0005490491831270359,0.24019443668652204,3.9296982538298986,2.8737371200866924
2000,1.7850448128709326,1.755039098780071,1.318280230264548,0.43675886851552315,0.023800999605514035,0.0,0.0009913790214460432,0.22475136596290396,3.899799372827627,2.501733468656451
2200,1.5319192848572154,1.4995898759434267,1.1228032442041873,0.37678663173923954,0.023534444119245733,0.0,0.0018542318057562742,0.2119192271087928,3.8628728030682216,2.177885480355641
2400,1.3125551717302573,1.2805225102884201,0.9514499799261026,0.3290725303623176,0.023041364337936434,0.0,0.002501291272137358,0.2010596843151784,3.8311064619075395,1.8959594317180526
2600,1.120476836892407,1.0888574823604276,0.8009949805872716,0.28786250177315603,0.02233704061083541,0.0,0.0034072984000052806,0.1914644318846721,3.796280339867461,1.6505285512687502
