epoch,loss,pde,cont,mom,bc,data,eik,err_u,err_chi,kphi
1,4.341197419662674,4.341197419662674,0.0,4.341197419662674,0.0,0.0,0.0,0.0,0.0,10.0
200,2.6020481904794632,2.601566751819714,0.033216647636273036,2.568350104183441,0.0004814386597489596,0.0,0.0,0.04905011066636322,0.0,8.711541921422562
400,1.6250064574678058,1.624122243380721,0.03952009709196059,1.5846021462887603,0.0008842140870849412,0.0,0.0,0.09608716174084293,0.0,7.58383772687221
600,1.0113154990602777,1.009545743779125,0.03986076341846776,0.9696849803606574,0.0017697552811525856,0.0,0.0,0.13918093521457361,0.0,6.602114205075001
800,0.6289915232062092,0.6255424584857788,0.03740152445769792,0.5881409340280809,0.0034490647204304297,0.0,0.0,0.1772058553326121,0.0,5.747474240173385
1000,0.396659679503223,0.39091660693721175,0.03376386366570069,0.3571527432715111,0.005743072566011231,0.0,0.0,0.2101409682125597,0.0,5.003466937312904
1200,0.2590348301922468,0.2507559784727879,0.029948607777796867,0.22080737069499107,0.008278851719458923,0.0,0.0,0.23820042058398563,0.0,4.355770960711281
1400,0.17916765740515572,0.16841316277339438,0.026419433195761014,0.14199372957763337,0.010754494631761344,0.0,0.0,0.261759402312279,0.0,3.791918863436105
1600,0.13292739255791475,0.1199892411330808,0.023381527334920434,0.09660771379816037,0.012938151424833948,0.0,0.0,0.2813056824106143,0.0,3.3010571025375004
1800,0.10549652999656699,0.09083322531900871,0.020835100719980224,0.06999812459902849,0.014663304677558275,0.0,0.0,0.2974221460325255,0.0,2.8737371200866924
2000,0.08844697626505447,0.07249996385775928,0.01874783392406374,0.05375212993369555,0.01594701240729519,0.0,0.0,0.3107395844387361,0.0,2.501733468656451
2200,0.0770571754505028,0.06023763439745081,0.01705023809033647,0.04318739630711434,0.01681954105305199,0.0,0.0,0.32184120973373703,0.0,2.177885480355641
2400,0.06886581291528329,0.051536632500894033,0.01568095292922315,0.03585567957167088,0.01732918041438925,0.0,0.0,0.33124671720262466,0.0,1.8959594317180526
2600,0.06264582199990656,0.0450843308332182,0.014567842766558406,0.030516488066659797,0.01756149116668837,0.0,0.0,0.3393693488520524,0.0,1.6505285512687502
2800,0.05763793838295436,0.04001260664928124,0.013652287660489882,0.026360318988791355,0.017625331733673123,0.0,0.0,0.34651308079090876,0.0,1.4368685600433462
3000,0.05348803378541378,0.03596733518146814,0.012892198880706833,0.02307513630076131,0.017520698603945638,0.0,0.0,0.35291705450657956,0.0,1.2508667343282256
