epoch,loss,pde,cont,mom,bc,data,eik,err_u,err_chi,kphi
1,6.002010053202502,6.002010053202502,0.0,6.002010053202502,0.0,0.0,0.0,0.0,0.0,9.993070929904524
200,3.68797875934509,3.6868530107948367,0.022355794762860867,3.6644972160319758,0.00011257485502532475,0.0,0.0,0.05700953940543955,0.0,8.705505632961241
400,2.263894458651565,2.2626096870713286,0.0326459985047329,2.229963688566596,0.00012847715802363416,0.0,0.0,0.10834720178379123,0.0,7.57858283255199
600,1.3549210175693085,1.353420125888537,0.03628461408318222,1.3171355118053547,0.0001500891680771425,0.0,0.0,0.15349111442448884,0.0,6.597539553864471
800,0.7900605605155321,0.7880987494592225,0.03739453934768794,0.7507042101115345,0.00019618110563095686,0.0,0.0,0.1919470715432492,0.0,5.743491774985174
1000,0.45412734016328515,0.451583328714217,0.03692798511254383,0.41465534360167317,0.000254401144906812,0.0,0.0,0.22387422067694868,0.0,5.0
1200,0.26427166652423917,0.2610681329781895,0.03556994440933718,0.22549818856885231,0.00032035335460496974,0.0,0.0,0.24971532623888124,0.0,4.352752816480621
1400,0.16227956284849795,0.1583806236194041,0.03366369770704285,0.12471692591236128,0.0003898939229093858,0.0,0.0,0.2701095734286316,0.0,3.7892914162759954
1600,0.10943588273537017,0.10516822427490505,0.03161381320105884,0.07355441107384621,0.00042676584604651205,0.0,0.0,0.2858719157523055,0.0,3.2987697769322355
1800,0.0825697571348718,0.07788639367876489,0.029602711629024822,0.04828368204974006,0.0004683363456106911,0.0,0.0,0.2978860588049468,0.0,2.871745887492587
2000,0.06811685302884976,0.06338068225095445,0.027715287376346556,0.035665394874607896,0.00047361707778953216,0.0,0.0,0.307004212387317,0.0,2.5
2200,0.05975275997714118,0.05496844212540205,0.025990595290356355,0.028977846835045694,0.0004784317851739136,0.0,0.0,0.3139810156087266,0.0,2.17637640824031
2400,0.05434759243665611,0.049453049122499225,0.02444010960781201,0.02501293951468721,0.0004894543314156885,0.0,0.0,0.31943785992465884,0.0,1.8946457081379977
2600,0.05016207629384157,0.04553025580097817,0.02304956415835986,0.022480691642618313,0.00046318204928633995,0.0,0.0,0.3238403167373353,0.0,1.6493848884661177
2800,0.04698809743818353,0.04243851913281331,0.021821191967894882,0.020617327164918424,0.00045495783053702183,0.0,0.0,0.32751833846314504,0.0,1.4358729437462938
3000,0.04433440075268486,0.0399101275504475,0.02073522239136141,0.019174905159086087,0.00044242732022373664,0.0,0.0,0.3306858581676467,0.0,1.25
