epoch,frame,norm_pde,norm_init,loss,walltime,memory,error_u,weight_pde,weight_init
0,0,23.56996500568584,0.06324555320336758,555.5472503692552,0.1276850700378418,210.40625,0.22360679774997896,1.0,1.0
1,1,10.143001225045435,0.06324903593879416,102.88447429182038,0.3680260181427002,282.71875,0.21992890208506943,1.0,1.0
2,1,7.987030941857384,0.06316480825527136,63.79665305918918,0.3681950569152832,282.75,0.21913684575908704,1.0,1.0
3,1,7.3929847671257996,0.06314813390201701,54.66021145376941,0.3683898448944092,282.765625,0.21882271521506055,1.0,1.0
4,1,7.0404113592862325,0.0631340338357564,49.571378014194984,0.36850786209106445,282.765625,0.21852963207750875,1.0,1.0
5,1,6.699941170441502,0.06310732353445053,44.89319422166072,0.36862683296203613,282.765625,0.21810072597374217,1.0,1.0
6,1,6.434171471741697,0.06304724928934428,41.402537483417674,0.3687407970428467,282.765625,0.21749778749069992,1.0,1.0
7,1,6.039795897390323,0.06301320569022803,36.48310514622434,0.3688547611236572,282.765625,0.21724801011662986,1.0,1.0
8,1,5.682330075258193,0.06295928592420405,32.292838955867865,0.3689737319946289,282.765625,0.21685690657857107,1.0,1.0
9,1,5.49192031346428,0.06291117032592143,30.16514654479337,0.3690986633300781,282.765625,0.2165078443489423,1.0,1.0
100,1,1.0156951146251014,0.05458641589704095,1.0346162426737826,0.39327549934387207,282.8125,0.19723323877363622,0.481482275180237,2.0769196532222542
200,1,0.1585819173468031,0.11182231091162351,0.037652453727004084,0.4243903160095215,282.8125,0.1923002974299112,0.4412137148361843,2.2664753301498894
300,1,0.06511674909971037,0.12113180803666196,0.01891310593154535,0.45578742027282715,282.84375,0.19077653194215632,0.5152765471742119,1.9407054434827713
400,1,0.017275143124189707,0.10312398720243406,0.010932987306489022,0.4867725372314453,282.84375,0.1893654598803279,0.8054245933805493,1.2415811588304917
500,1,0.00933212325312098,0.06607551618949874,0.004453062364120151,0.5178864002227783,282.84375,0.18920331505739282,1.3138322290251987,0.7611321886523917
600,1,0.007155856628232912,0.04051748189134291,0.0016928726228991257,0.5487229824066162,282.84375,0.18915151782898143,2.026679689265569,0.49341788211356746
700,1,0.009025042524200869,0.02627283886140848,0.0007717134544011696,0.5797152519226074,282.84375,0.1891265459827535,2.647278006025246,0.37774649950779055
800,1,0.00544870547847659,0.020121662779490065,0.0004345697044026966,0.6107852458953857,282.84375,0.1891008683427927,3.669798211827207,0.27249454664214257
900,1,0.0060749064952206645,0.014516081876474261,0.00024762112197017876,0.6419124603271484,282.84375,0.1890963892563565,4.562676077528071,0.21916962392425013
1000,1,0.006144283180279053,0.011675895175560957,0.00017407874395014772,0.6749153137207031,282.84375,0.18909455090873287,5.357033701339317,0.18667047021749897
1100,2,0.0036869706003432564,0.009943194588726783,0.00011246087083708111,0.7060725688934326,287.53125,0.1890913022526776,6.864966852176834,0.14566712724663863
1200,2,0.0021329375844997647,0.007758970219898849,6.475104161264888e-05,0.7371540069580078,287.53125,0.1890898682512992,9.480798776289566,0.10547634472539262
1300,2,0.0010708358982212938,0.005618171150104098,3.2710536592781415e-05,0.7682147026062012,287.53125,0.1890895382861154,14.34871269949128,0.06969266309412228
1400,2,0.0006304035034048703,0.0037121758293301907,1.4177657964968423e-05,0.7990939617156982,287.53125,0.18908951380591538,22.35195014334922,0.04473882563206899
1500,2,0.0006780748124884534,0.0023830132556063033,6.138537627726603e-06,0.830967903137207,287.53125,0.18908948055650124,30.603960408974693,0.032675509530026306
1600,2,0.0005689963305189968,0.0017404653519205984,3.352976465380176e-06,0.8620789051055908,287.53125,0.18908948758236965,40.47311309521584,0.024707760869479702
1700,2,0.00031604613877889116,0.001316065068314095,1.8319124258736294e-06,0.8931143283843994,287.53125,0.18908947461583117,57.816038228793694,0.01729623873643383
1800,2,0.0002065764345147973,0.0009212889739353544,8.914471967917044e-07,0.9252986907958984,287.53125,0.18908947841897544,84.01892159076479,0.011902080877337979
1900,2,0.00015135374723296337,0.0006339677455536037,4.248230592037786e-07,0.957514762878418,287.53125,0.18908947823039376,120.19754549209155,0.008319637442727946
2000,2,0.0001704403381109379,0.00044314784579715645,2.254299220900312e-07,0.9885430335998535,287.53125,0.18908947850430805,152.62991524236023,0.0065517955533953166
