epoch,total,pde,ic_u,ic_ut,bc,rmse,rel_rmse
2800,0.5015615813342374,0.015468441220882676,0.006939302681250193,0.0005179765716352785,0.04115203475845001,0.1213567687732141,0.5403469964451922
2900,0.45734507162018656,0.019908399477535792,0.006376333657225987,0.0004986839698547573,0.03686864958718433,0.12155812457244874,0.5412435430691106
3000,0.4654034170103317,0.01515092666918022,0.006527492852359851,0.00046852846379807293,0.03802922771795723,0.12057884037276811,0.5368832318865302
3100,0.4913974922649962,0.014803579396033162,0.00715451692528675,0.0012964865815165627,0.03920838778009299,0.1201266900492143,0.5348700102776837
3200,0.4917639431544357,0.023185836449709965,0.006683776058435597,0.0012348270370189096,0.03893920757501807,0.11994100477699156,0.5340432374479196
3300,0.5124608960143167,0.016631786328733293,0.006448017157366379,0.0004161500714344482,0.04271874373975751,0.11969333933853683,0.5329404948720821
3400,0.5050912480260773,0.015132745287609257,0.006587102377203806,0.0007861182331508804,0.04162262966349212,0.11960109103955664,0.5325297547725802
3500,0.5149518964709667,0.017780673206747727,0.007678308570852905,0.0018862630381687876,0.040152550717400204,0.11936020351315546,0.5314571911843453
3600,0.46813664685706247,0.015438846372189003,0.007002671063013545,0.00048500357968680595,0.03778210540578699,0.12028598849998727,0.5355792944839434
3700,0.4588356916630621,0.016403796778363927,0.006604258831557087,0.000509095726417272,0.03712983493049546,0.1189488076095821,0.5296254306398541
3800,0.5190624660529288,0.04981152981268758,0.007788388723521702,0.0013238709810110732,0.03781283391949135,0.12099622176466265,0.5387416431128854
3900,0.481270206677161,0.025124825844417067,0.0067892024966929865,0.0014640622140477154,0.03736127337253369,0.12088564488543148,0.5382492941061274
4000,0.49297838978578584,0.017351983063471417,0.007064137680468293,0.0008805173376258202,0.03961798565413733,0.1195701598052574,0.5323920319268017
4100,0.5146729540564422,0.020068424887526998,0.006353628326355103,0.0004950792319540519,0.04261174535858237,0.11832172608218168,0.5268333192209164
4200,0.4795902874119984,0.017124504195710363,0.006181655216671929,0.0006240054975776156,0.03944091760737926,0.11869233766916645,0.5284834855849305
4300,0.4634047103938844,0.017712886893953853,0.00685592870231342,0.0008388940157573147,0.03687435963192232,0.11846388604422255,0.527466293461085
4400,0.47018840986763133,0.019350398508484277,0.006557169014045584,0.0006264849898306944,0.037900147132038424,0.11872491584369745,0.5286285415132932
4500,0.44284492606466513,0.01827431285101817,0.006308223435367279,0.0007577181656278262,0.03539111972036959,0.11805785568268128,0.525658423257039
4600,0.47224491489721754,0.017550774677496418,0.00638506193612948,0.0004916182845910251,0.038592733801251604,0.11825601692453389,0.5265407459567066
4700,0.48918695382148375,0.023471060639859688,0.0064807969032142565,0.002112639519047277,0.037978152895900875,0.11828064373289833,0.5266503980351714
4800,0.46330835560801525,0.022644852415818963,0.006609918230904321,0.0008787096704737252,0.03657772241784159,0.11849414784889574,0.5276010356384474
4900,0.4876007076527724,0.019271155398825304,0.006023909614722595,0.0006688762394435059,0.040140169371228614,0.11911408431084573,0.5303613333011804
5000,0.4562756357344535,0.01988522956463546,0.006132875341342301,0.0006399978334829927,0.03686616744215651,0.12048264318606251,0.5364549091697316
