epoch,total,pde,ic_u,ic_ut,bc,rmse,rel_rmse
1,3.008019783928065,0.00015747553327387254,0.09703256058032132,0.0692261839593674,0.13452748629979042,0.23105037573599455,1.0287631898784877
100,1.8888996145077088,0.01086693007786266,0.10401720363143058,2.4521201065983983e-05,0.08376154361048804,0.22288993847769978,0.9924284406364473
200,1.6429302522942972,0.01283776197279416,0.08323327029811037,0.000967199045838066,0.07880877968820187,0.2166868725290989,0.9648089836588012
300,1.6707427190983486,0.01768292170499356,0.08500065819936711,0.0014248935843329783,0.07888042795563543,0.20946294261516238,0.9326440795419099
400,1.3225682427966858,0.024478643453509145,0.06010408942648947,0.0018874411350704333,0.06781742937275777,0.19250785268104034,0.8571507056413424
500,0.9091944736371124,0.0948494429392804,0.03194071842889772,0.0037203776840799784,0.0457734069568055,0.15143371695488073,0.6742660911647642
600,0.6950282819476357,0.020128091733842796,0.02186418976784573,0.0008343716601293011,0.04479145759340425,0.13772281129263925,0.6132176076889022
700,0.6481908017256426,0.014128745939458218,0.017070916370744173,0.0005512838710917836,0.045784005336782486,0.13244700551996705,0.589726822363042
800,0.6399578373300645,0.012610195287056317,0.014763961802530898,0.001401290262235963,0.046569512139533954,0.1297431740035159,0.5776878792239206
900,0.6081071949457239,0.026651503912590923,0.011904097665301056,0.0018591175481459039,0.04438235388986633,0.12821171404208867,0.5708689782371968
1000,0.562560794384981,0.013105211001247551,0.012575809155255186,0.0012562307165941873,0.04111351846652397,0.12584413011640563,0.5603271940746218
1100,0.5648147849297596,0.015982398859584784,0.010722101171895877,0.0010358256186604746,0.04312531181646112,0.1257759064845611,0.5600234249900753
1200,0.5188005603177149,0.014599986001445051,0.009944455276228548,0.00045085422969691637,0.04002474792570152,0.12462599110533451,0.5549033700676145
1300,0.5019278408085825,0.015380895378082855,0.008970984850940252,0.0006496640797799631,0.03903404561232976,0.12569320819626326,0.5596552067839988
1400,0.517604575001769,0.018244959295459814,0.009979393291380211,0.0010513027802572556,0.03890526549899345,0.12387691410315034,0.5515680677822283
1500,0.5157167423796015,0.015887081229522128,0.008542646021846748,0.000804504473805636,0.04063581561935555,0.1232359630019283,0.5487142014020119
1600,0.5440009670588775,0.016365926756610957,0.008626337757665789,0.0009621745743255164,0.04317499169823534,0.12388043207654274,0.5515837317322113
1700,0.5923114010705752,0.01867508923089197,0.00814488502015255,0.0010951813669245775,0.0481235647968912,0.12265550294415728,0.5461296743752656
1800,0.498327855857996,0.014737367903426689,0.0077110164371431,0.0005148135774357518,0.040133218780878076,0.12301346522593035,0.5477235190841521
1900,0.5322728427770771,0.01686436252408174,0.007687092264007821,0.0009196222310002626,0.042934133530291456,0.12396757826228975,0.5519717544209832
2000,0.5210171082478574,0.01775198155220188,0.007202107493041551,0.0006442590619171269,0.042480146114606876,0.12206218770135474,0.543487909003343
2100,0.4974078211513137,0.015149406897512388,0.00872822439283633,0.0005473900624829348,0.03895022697006087,0.12190261083128727,0.5427773851214471
2200,0.5334080176838808,0.01714502642931595,0.007688457777599469,0.0008655760515920559,0.043072265296264955,0.12142966519595266,0.5406715713615861
2300,0.4830266758445067,0.019337428640662735,0.0070532207863282,0.0005782931336590275,0.03873741080039717,0.12341950324136582,0.5495314233675394
2400,0.5571348768801878,0.03383197583017232,0.007334409648456146,0.003043725847464153,0.041952154609081256,0.12154340769093602,0.5411780154285609
2500,0.47595193609248654,0.015770059660668877,0.006361427498072475,0.00040648454144061075,0.039250275603668686,0.12212204578990843,0.5437544300939249
2600,0.4925801837121189,0.018281091636477155,0.007908463108010782,0.00043462217416138194,0.03908682392539201,0.12082630443007689,0.5379850778028863
2700,0.6083829998237146,0.024084740805613878,0.006592007577204109,0.009906651132762402,0.04193116719184356,0.12243301577214087,0.5451390392721565
