epoch,frame,norm_fu,norm_imp,norm_wreg,loss,walltime,memory,error_u,error_k
0,0,6.588477611541748,0.7623419165611267,0.0,43.98920440673828,1.0249862670898438,410.03125,0.36418474,2.4940054
1,1,0.49515050649642944,0.19145908951759338,0.0,0.2818306088447571,8.817679166793823,467.328125,0.09945593,0.36085412
2,1,0.17456163465976715,0.06489516794681549,0.0,0.034683145582675934,18.08342742919922,628.4375,0.043511793,0.78426903
3,1,0.23245570063591003,0.04886236786842346,0.0,0.056423187255859375,26.862003326416016,632.1875,0.03831639,1.0093385
4,1,0.04499492049217224,0.03957698866724968,0.0,0.0035908808931708336,35.65271234512329,635.328125,0.0339202,0.63100713
5,1,0.08518086373806,0.02918926626443863,0.0,0.00810779258608818,44.388068199157715,646.828125,0.027265908,0.35865182
6,1,0.07242907583713531,0.022934582084417343,0.0,0.005771965719759464,53.10088920593262,647.828125,0.024619212,0.4561972
7,1,0.10811442136764526,0.01835000514984131,0.0,0.012025450356304646,61.81334209442139,647.828125,0.022037167,0.3606581
8,1,0.02334834635257721,0.019249605014920235,0.0,0.0009156925370916724,70.52599811553955,647.1875,0.022559593,0.37109295
9,1,0.008853526785969734,0.018754852935671806,0.0,0.00043012943933717906,79.46571016311646,643.5,0.022277707,0.36227813
10,1,0.006426236126571894,0.018465092405676842,0.0,0.00038225617026910186,88.206552028656,644.375,0.0220576,0.3547857
11,2,0.006320419255644083,0.01806262880563736,0.0,0.000366206222679466,96.99109506607056,628.265625,0.021756444,0.3452677
12,2,0.010705727152526379,0.01734752207994461,0.0,0.00041554911877028644,105.70424818992615,632.5,0.021217935,0.32940072
13,2,0.019162753596901894,0.01608438976109028,0.0,0.0006259187357500196,114.521320104599,614.46875,0.02017797,0.29979935
14,2,0.023705478757619858,0.014318929053843021,0.0,0.0007669813930988312,123.23952007293701,628.296875,0.018515026,0.25134838
15,2,0.01939467526972294,0.012596570886671543,0.0,0.0005348270642571151,131.9608759880066,629.09375,0.01666484,0.1978288
16,2,0.013790993019938469,0.01120731234550476,0.0,0.00031579536153003573,140.6767861843109,629.234375,0.015021742,0.15720722
17,2,0.010496421717107296,0.01010567881166935,0.0,0.00021229960839264095,149.37923121452332,629.234375,0.013630179,0.12891075
18,2,0.00851361732929945,0.009223471395671368,0.0,0.0001575540954945609,158.13368439674377,630.734375,0.012452783,0.10840274
19,2,0.007238135673105717,0.008495673537254333,0.0,0.00012456707190722227,166.90550827980042,633.703125,0.011445558,0.09296705
20,2,0.006353774107992649,0.007877694442868233,0.0,0.00010242851567454636,175.63064813613892,633.703125,0.010572368,0.08095428
21,3,0.005694827996194363,0.007342108990997076,0.0,8.633763354737312e-05,184.4623281955719,634.90625,0.009806371,0.0713472
22,3,0.005181234795600176,0.0068703084252774715,0.0,7.40463292459026e-05,193.33029413223267,626.46875,0.009127163,0.06348469
23,3,0.004763584118336439,0.006449914071708918,0.0,6.429312634281814e-05,202.26277828216553,627.328125,0.0085199615,0.05693219
24,3,0.004405215848237276,0.006072944961488247,0.0,5.628658982459456e-05,211.4130654335022,451.5625,0.007974352,0.05139557
25,3,0.004094446077942848,0.005733191035687923,0.0,4.963397077517584e-05,220.4595205783844,434.421875,0.007482024,0.04666252
