epoch,frame,norm_fu,norm_fimp,norm_vx_lap,norm_vy_lap,norm_vx_t,norm_vy_t,loss,walltime,memory,error_u_t0,error_u_t1
0,0,3.3639602661132812,23.727317810058594,0.0,0.0,0.0,0.0,574.3018188476562,0.8172767162322998,452.984375,0.2996487,0.29889962
1,1,3.3639602661132812,23.727317810058594,0.0,0.0,0.0,0.0,574.3018188476562,1.1006367206573486,466.28125,0.2794699,0.28277183
2,1,3.1381473541259766,22.173011779785156,0.0,0.0,0.0,0.0,501.49041748046875,1.2054295539855957,484.203125,0.25954023,0.26393884
3,1,2.9330339431762695,20.57343864440918,0.37221819162368774,0.37528836727142334,0.08237684518098831,0.074089914560318,432.16070556640625,1.3127176761627197,503.5,0.23933922,0.24519919
4,1,2.7321038246154785,19.042333602905273,0.8608976006507874,0.9450109601020813,0.34621721506118774,0.30409789085388184,371.9213562011719,1.418365478515625,522.921875,0.22024009,0.22656474
10,1,1.5714085102081299,10.79037094116211,0.5863466262817383,0.6552298665046692,0.26707932353019714,0.2524975538253784,119.80964660644531,2.0559206008911133,580.84375,0.117326155,0.12679979
20,1,0.7036842703819275,3.926811456680298,0.33363696932792664,0.36566752195358276,0.19437770545482635,0.1908322274684906,16.23424530029297,3.1047871112823486,594.0,0.040726703,0.052558754
30,1,0.6726979613304138,3.298995018005371,0.2092253863811493,0.22112439572811127,0.1412641406059265,0.1307261884212494,11.465606689453125,4.1507673263549805,603.59375,0.042027377,0.044052627
40,1,0.46500229835510254,2.0489578247070312,0.16584542393684387,0.15231727063655853,0.11453534662723541,0.0967857614159584,4.487646102905273,5.24433159828186,613.421875,0.022779409,0.028412366
50,1,0.33054524660110474,1.1211551427841187,0.12362479418516159,0.12838946282863617,0.08796367794275284,0.07106528431177139,1.4108039140701294,6.349110126495361,581.359375,0.011425149,0.017299848
60,1,0.2716924846172333,0.6434916853904724,0.10878334194421768,0.11281412839889526,0.06351247429847717,0.043224744498729706,0.5183613896369934,7.431710958480835,593.046875,0.00781788,0.011286292
70,1,0.2266518920660019,0.44965144991874695,0.108237124979496,0.10303766280412674,0.05835546925663948,0.03285403922200203,0.28037428855895996,8.479593753814697,597.03125,0.0042677517,0.008558307
80,1,0.20332519710063934,0.2397056221961975,0.10610677301883698,0.09907888621091843,0.05820952355861664,0.030791329219937325,0.1242116391658783,9.524946451187134,596.765625,0.002821122,0.0064021335
90,1,0.18634089827537537,0.13763242959976196,0.10467948019504547,0.10082173347473145,0.05939137190580368,0.02998111955821514,0.07921463251113892,10.568527936935425,606.625,0.0015798128,0.005799546
100,1,0.17462500929832458,0.09843351691961288,0.10182105004787445,0.10070633143186569,0.05969424173235893,0.028834210708737373,0.06508715450763702,11.614560842514038,606.953125,0.0011387947,0.00604362
110,2,0.16633166372776031,0.044383782893419266,0.10308036208152771,0.10200528800487518,0.060105253010988235,0.029346801340579987,0.0551406592130661,12.659651041030884,614.9375,0.0007814804,0.006322618
