epoch,total,pde,init,final,v_lap,v_t,endpoint_rmse,c_rmse,vx_rmse,vy_rmse
1,18.25709063167715,0.007550811812595039,0.09415274185285596,0.08675109754060653,0.020362251165643625,0.15895225800665047,0.3199929215542753,0.3199722380137755,0.5263078976412758,0.46190496696171296
100,12.799164355706326,0.018239983210692833,0.05787964626289387,0.06989145951142423,0.12476634178146936,0.0025661316460101496,0.2604586188098427,0.26239176550875604,0.2999592823450147,0.2265802607432074
200,7.985218651212554,0.007575036181251207,0.03948087678681633,0.03999351171779217,2.7129458516894442,0.0030753060535579925,0.19712215479437245,0.19357186637143478,0.17326371209908972,0.2646686391596844
300,4.17433097294348,0.009609878664313195,0.027644688998496446,0.013837304332654704,1.4867914603484764,0.0016538465605669026,0.1469056824217751,0.13573305374467423,0.23553955878237023,0.23680377294745433
400,2.9801341780759865,0.013793210220458074,0.017869963137257222,0.011607338402760268,1.6395443435380161,0.0022153704183994066,0.12451867593151637,0.12109202541630527,0.21350849469155353,0.18584511819330266
500,2.321482512446868,0.01821988017770114,0.012612919241599454,0.010193370047531153,1.8754831674058594,0.0038788716820477936,0.10543483904092778,0.11065618168681823,0.17752846205992817,0.16012754718010533
600,1.9315879229015631,0.028493490091567725,0.010801487970028304,0.008040923763347443,1.5528017552738302,0.003325241919682218,0.09710928748922538,0.10872593896047167,0.16837877412133256,0.14624975681013003
700,1.7629937024977076,0.035783681936642206,0.009775728747420397,0.007326706471111435,1.435981879056778,0.0026066799173143484,0.09228273254153582,0.10736036097306383,0.1632887475084569,0.13885949814309
800,1.616010066458184,0.04311522525356917,0.00914486965064374,0.00641664445186545,1.48250087122264,0.0019184222414694336,0.08841692484854669,0.10774442368512202,0.17514341656133461,0.13246393870227918
900,1.4416781154159777,0.04871886734522529,0.00746397854395925,0.0063060866699384335,1.4449178660945012,0.001503548020039032,0.08347058565718753,0.1064838477023458,0.1647667928626951,0.1276757016131009
1000,1.3163234753575628,0.057770366248783386,0.007803345675953371,0.004621955183767151,1.4680983232223155,0.0013420399045037917,0.07825331193444189,0.10765684598018094,0.15667595773032253,0.13607941378049265
1100,1.1904774537660983,0.06781392423776084,0.006652469503663362,0.004389709065104308,1.69746752625263,0.0014709973890441896,0.07296935170033264,0.10639056777340347,0.1574613513133266,0.13343280908542793
