flow,K,sample,error
uniform,12,9,0.003671188695840044
uniform,12,10,0.0015119730155430666
uniform,12,11,0.0002365273240458876
uniform,12,12,0.023467147298896318
uniform,12,13,0.00019643955184722728
uniform,12,14,0.0018795856603741612
uniform,12,15,0.0068818340734306815
uniform,12,16,0.08152316977974117
uniform,12,17,0.00038559586259578893
uniform,12,18,0.02691287021166
uniform,12,19,0.00020603188262846572
uniform,16,0,0.0009800821977488106
uniform,16,1,0.0004667437906449301
uniform,16,2,0.00037744170951770073
uniform,16,3,0.0002431843790271504
uniform,16,4,0.0005455328654180303
uniform,16,5,0.0021445196365008634
uniform,16,6,0.0004669309273926947
uniform,16,7,0.0010639348938072946
uniform,16,8,0.0003000304341957971
uniform,16,9,0.017559965087085017
uniform,16,10,0.00023753612949395375
uniform,16,11,0.0004265264907128419
uniform,16,12,0.00013140539913170102
uniform,16,13,0.0003444021119651808
uniform,16,14,0.00024909042346887844
uniform,16,15,0.0003989605313579059
uniform,16,16,0.0003447545996984047
uniform,16,17,0.0006854382466644493
uniform,16,18,0.0001857961989720769
uniform,16,19,0.019321894125852168
uniform,20,0,0.0029058277841165214
uniform,20,1,0.00014544180987241528
uniform,20,2,0.0002101694666658549
uniform,20,3,0.0009327034791573041
uniform,20,4,0.0002714093974676146
uniform,20,5,0.017079157835746983
uniform,20,6,0.0005352914235969841
uniform,20,7,0.0006152287939529266
uniform,20,8,0.0002668367552653983
uniform,20,9,0.000279093027336641
uniform,20,10,0.0003058547721157545
uniform,20,11,0.00024375774568063946
uniform,20,12,0.0003378387427388496
uniform,20,13,0.002736342232413591
uniform,20,14,0.00014798267457150072
uniform,20,15,9.856650750794671e-05
uniform,20,16,0.00012262314411182196
uniform,20,17,0.00042149126329982245
uniform,20,18,0.0004494047228993381
uniform,20,19,0.00022969783268367294
uniform,24,0,0.0008504726962476339
uniform,24,1,0.0021256705042533852
uniform,24,2,0.00015774728991346798
uniform,24,3,0.00020986862625460567
uniform,24,4,0.0001498507948641814
uniform,24,5,0.00012984026957907346
uniform,24,6,0.0001509360198452825
uniform,24,7,0.00022191333046406303
uniform,24,8,0.004371915468168286
uniform,24,9,0.011021273654144181
uniform,24,10,0.0003751104998990229
uniform,24,11,0.0003789780981538482
uniform,24,12,0.00022167668240280491
uniform,24,13,0.0002549290006488292
uniform,24,14,0.00010190477660487751
uniform,24,15,0.0002782456838881231
uniform,24,16,0.00017920431525642044
uniform,24,17,0.0001562563506032344
uniform,24,18,0.0003192230720832079
uniform,24,19,0.0001990451949386296
uniform,29,0,0.00013616854110898302
uniform,29,1,9.207677900402444e-05
