epoch,loss,pde,cont,mom,bc,data,eik,area,phi_anchor,err_u,err_chi,kphi,weight_pde,weight_bc,weight_data,weight_eik,weight_area,weight_phi_anchor
1,73.10647252347474,73.0931064223749,3.778610231291101,69.3144961910838,0.0,0.0,0.01338029001833457,0.004347250835571495,0.2575755223566434,0.38502220352237165,3.509932496577414,9.993070929904524,1.0,10.0,100.0,0.01,0.001,0.0
200,18.029061803313287,18.025803921313198,2.9402294911804643,15.085574430132734,0.0003181236593095492,0.0,9.522083983922436e-05,0.0044815047817193384,0.25872795234703583,0.37699995046895135,3.5600529108235857,8.705505632961241,0.5,10.0,100.0,0.014358806106095592,0.001664115001134995,0.0
400,4.798311428598374,9.592239344570865,2.411196139529494,7.181043205041372,0.00021623767638611466,0.0,2.6581386067243246e-05,0.004481639656713891,0.25874170987597644,0.35318103810716633,3.560099806448575,7.57858283255199,0.5,10.0,100.0,0.02670941601607337,0.0024330599271192113,0.0
600,2.7119165951726134,5.414606618719326,1.9869237194258322,3.427682899293494,0.0004580695271758045,0.0,1.866235662810829e-05,0.0044773995160761965,0.2586898117203405,0.3270459827489553,3.558432440434835,6.597539553864471,0.5,10.0,100.0,0.05,0.0033751028741359455,0.0
800,1.7002152486744977,3.395106723156679,1.66364441927099,1.7314623038856891,0.0002537342718038162,0.0,6.640522643645498e-05,0.004449227677075411,0.25848995561748334,0.30063009395050366,3.5478084894584923,5.743491774985174,0.5,10.0,100.0,0.05,0.005,0.0
1000,1.1635690779883514,2.3176412514960356,1.4027945301433375,0.9148467213526982,0.0002745868765079101,0.0,0.0015853448382533778,0.004180485487523008,0.25628265664563943,0.27236318708323765,3.464634700120867,5.0,0.5,10.0,100.0,0.05,0.005,0.0
1200,0.8466575626277503,1.686163714305078,1.1776003339865568,0.5085633803185213,0.00027656363844327987,0.0,0.0008341484326985307,0.003972243359446266,0.2526088896733781,0.2439405969381175,3.4272092339659794,4.352752816480621,0.5,10.0,100.0,0.05,0.005,0.0
1400,0.6549864322740884,1.3032480527838692,0.9957079226832198,0.30754013010064946,0.000280032855938353,0.0,0.0007557949084248446,0.0038929185512108565,0.2505357023451291,0.21985106995948253,3.4322398138065173,3.7892914162759954,0.5,10.0,100.0,0.05,0.005,0.0
1600,0.5290978818800971,1.0524637425529253,0.8476236532625682,0.20484008929035716,0.00024391155125490506,0.0,0.0007493190166505729,0.0038390067128822414,0.24898605338876056,0.19936701557283468,3.432739546979158,3.2987697769322355,0.5,10.0,100.0,0.05,0.005,0.0
1800,0.440262678126443,0.8754316773597369,0.725273742959302,0.15015793440043484,0.0002228336097675017,0.0,0.0007260417863202996,0.003824552242317459,0.2478229569615698,0.18199941132077485,3.435781194679217,2.871745887492587,0.5,10.0,100.0,0.05,0.005,0.0
2000,0.3726384972814285,0.7408257885988898,0.6228667080811021,0.11795908051778771,0.00019565616107316335,0.0,0.0007999231302912963,0.0038130786071886662,0.2468579329335533,0.16717106796964068,3.436658713728468,2.5,0.5,10.0,100.0,0.05,0.005,0.0
2200,0.3188305848569462,0.6331259471916764,0.5358985319687186,0.09722741522295777,0.000204946675966706,0.0,0.0008410783595849313,0.0037902626833070958,0.24602518448133215,0.15441064142471742,3.4309365161115775,2.17637640824031,0.5,10.0,100.0,0.05,0.005,0.0
2400,0.2738251637989701,0.5437733093017545,0.4613974734957647,0.08237583580598974,0.00016940189833158855,0.0,0.00125789798015744,0.0037434910628563202,0.24515871761851057,0.14319170323736752,3.4179484138033125,1.8946457081379977,0.5,10.0,100.0,0.05,0.005,0.0
2600,0.23557205127799963,0.4676319955799283,0.3969165276048338,0.07071546797509448,0.00015346544920252648,0.0,0.0014912400051011927,0.0037110546254626522,0.24417336462615546,0.13312188604359507,3.410481347905143,1.6493848884661177,0.5,10.0,100.0,0.05,0.005,0.0
2800,0.20285336912192034,0.4023186437770193,0.3407181161811079,0.061600527595911385,0.00015034259248740655,0.0,0.0016704818056114518,0.0036834186244110913,0.24326132973358955,0.12408520740631646,3.40408804761691,1.4358729437462938,0.5,10.0,100.0,0.05,0.005,0.0
3000,0.17435396519745053,0.34546919754638206,0.29143921587818,0.05402998166820204,0.00014591944067831767,0.0,0.0018163775825796773,0.0036535037674529877,0.24242678031078368,0.11590254389066906,3.3963738895947335,1.25,0.5,10.0,100.0,0.05,0.005,0.0
3200,0.14951975770033918,0.2957109236955685,0.24820227569784348,0.04750864799772505,0.00014980681708477484,0.0,0.002503524491085668,0.0035999617648509313,0.24167382499227225,0.10847316867307029,3.3797872647134346,1.088188204120155,0.5,10.0,100.0,0.05,0.005,0.0
3400,0.12751995980314954,0.251870392298344,0.21024748515985656,0.041622907138487444,0.0001406763391634718,0.0,0.00320611037383491,0.0035389487302082685,0.24079379436387982,0.10151758841077153,3.362926642990006,1.0,0.5,10.0,100.0,0.05,0.005,0.0
3600,0.10858925458626517,0.21392645630224427,0.17712802040219033,0.03679843590005393,0.00014556409118376094,0.0,0.00305865062515079,0.003490598409574603,0.23979309546499883,0.0952185953165153,3.3490541985941804,1.0,0.5,10.0,100.0,0.05,0.005,0.0
3800,0.09206140911913596,0.18105238221509315,0.14847574392646382,0.03257663828862935,0.00013672640999687498,0.0,0.0030152731586507026,0.0034380507376195945,0.2386529062034638,0.08946024108534767,3.3333434699344004,1.0,0.5,10.0,100.0,0.05,0.005,0.0
4000,0.07793855649556904,0.1527885561482504,0.12383716449445782,0.02895139165379257,0.00013740924276561838,0.0,0.0030647485546317016,0.003389713211212349,0.2374301765883677,0.08415680193659018,3.3172440120710083,1.0,0.5,10.0,100.0,0.05,0.005,0.0
4200,0.06583178942870165,0.1285896512849827,0.10282505108851779,0.025764600196464923,0.00013759726826925408,0.0,0.002886708305998421,0.0033311376435676623,0.23616162582223071,0.07923667338987304,3.2979028263808727,1.0,0.5,10.0,100.0,0.05,0.005,0.0
4400,0.05548065582720005,0.10810593421062678,0.08512974772835563,0.022976186482271146,0.0001275372859377019,0.0,0.002717991082370196,0.003283261678225845,0.23477758867593781,0.07473807388141863,3.282407723709841,1.0,0.5,10.0,100.0,0.05,0.005,0.0
4600,0.046816419664681315,0.09086277224921366,0.07033276783112835,0.0205300044180853,0.00012286749698590404,0.0,0.002804682287793638,0.0032248911651528373,0.23307501254551813,0.07055506555951456,3.2631075556193303,1.0,0.5,10.0,100.0,0.05,0.005,0.0
4800,0.039642916250830516,0.0767108783096223,0.05820035245286551,0.018510525856756787,0.00011426173542996052,0.0,0.002580736310894202,0.003164585235011559,0.23120772743213142,0.06697176985628213,3.2436155324744056,1.0,0.5,10.0,100.0,0.05,0.005,0.0
5000,0.03395844668436259,0.06521601101711823,0.04837080602350796,0.016845204993610273,0.00012217732831552565,0.0,0.0022622112546988107,0.0031114659826557986,0.22928571900179814,0.0638474893581703,3.2278904806431763,1.0,0.5,10.0,100.0,0.05,0.005,0.0
5200,0.029304429149815563,0.05591979805896861,0.040472357547066365,0.015447440511902243,0.00012232281534702914,0.0,0.0021199071140944044,0.0030613222312495156,0.22729824417055483,0.06110311440832783,3.213442912892359,1.0,0.5,10.0,100.0,0.05,0.005,0.0
5400,0.025442207418092777,0.048408942187054854,0.03422599915720184,0.014182943029853012,0.00011178270040137319,0.0,0.002098144239822979,0.0030004217120936276,0.22521000862538404,0.0586972531766856,3.195855714071768,1.0,0.5,10.0,100.0,0.05,0.005,0.0
5600,0.02255343768997011,0.04242867988272258,0.029310658030896816,0.013118021851825763,0.00012223202424613803,0.0,0.002040487529923995,0.002950625930247849,0.22291031949843162,0.05648723070585452,3.182912029063382,1.0,0.5,10.0,100.0,0.05,0.005,0.0
