epoch,frame,norm_pde,norm_init,loss,walltime,memory,error_u,weight_pde,weight_init
0,0,23.56996500568584,0.06324555320336758,555.5472503692552,0.11490106582641602,208.71875,0.22360679774997896,1.0,1.0
1,1,10.143001225045435,0.06324903593879416,102.88447429182038,1.320850133895874,289.203125,0.21992890208506943,1.0,1.0
2,1,7.987030941857384,0.06316480825527136,63.79665305918918,1.323364019393921,289.25,0.21913684575908704,1.0,1.0
3,1,7.3929847671257996,0.06314813390201701,54.66021145376941,1.3241229057312012,289.265625,0.21882271521506055,1.0,1.0
4,1,7.0404113592862325,0.0631340338357564,49.571378014194984,1.3242487907409668,289.265625,0.21852963207750875,1.0,1.0
5,1,6.699941170441502,0.06310732353445053,44.89319422166072,1.3243727684020996,289.265625,0.21810072597374217,1.0,1.0
6,1,6.434171471741697,0.06304724928934428,41.402537483417674,1.3244986534118652,289.265625,0.21749778749069992,1.0,1.0
7,1,6.039795897390323,0.06301320569022803,36.48310514622434,1.3246266841888428,289.265625,0.21724801011662986,1.0,1.0
8,1,5.682330075258193,0.06295928592420405,32.292838955867865,1.324758768081665,289.265625,0.21685690657857107,1.0,1.0
9,1,5.49192031346428,0.06291117032592143,30.16514654479337,1.3248896598815918,289.265625,0.2165078443489423,1.0,1.0
100,1,1.0156951146251014,0.05458641589704095,1.0346162426737826,1.3597455024719238,289.3125,0.19723323877363622,1.0,1.0
200,1,0.32621897392761834,0.05410565584068283,0.10934624094433854,1.3983485698699951,289.3125,0.19274279216464915,1.0,1.0
300,1,0.141945780463383,0.053977630106810864,0.02306218914330661,1.4370317459106445,288.234375,0.1921701758520944,1.0,1.0
400,1,0.025762501942852224,0.05397853271552396,0.003577388500476355,1.4750444889068604,288.234375,0.19178468386469338,1.0,1.0
500,1,0.00823915868782468,0.05401148052045511,0.002985123763894659,1.513427495956421,288.25,0.1917450485482586,1.0,1.0
600,1,0.003205148888961756,0.05400977197588743,0.002927328448287768,1.5519933700561523,288.25,0.19171701062171373,1.0,1.0
700,1,0.0029533099149894374,0.053981993607594175,0.002922777673304313,1.5882234573364258,287.609375,0.19161800684134198,1.0,1.0
800,1,0.0034589609037986185,0.05371709073064484,0.002897490247098337,1.6203393936157227,287.609375,0.19072626402721357,1.0,1.0
900,1,0.003954075885608519,0.05355696765301049,0.0028839835002947623,1.6514954566955566,287.609375,0.1901774793594104,1.0,1.0
1000,1,0.004586151471959623,0.053439358514104744,0.0028767978237227766,1.6823992729187012,287.609375,0.18976638740699522,1.0,1.0
1100,2,0.005556689527645799,0.05322619750304416,0.0028639048991397124,1.7200901508331299,295.40625,0.18900450262518856,1.0,1.0
1200,2,0.01091022360347867,0.050856067896037215,0.0027053726209242505,1.7527730464935303,295.40625,0.1804869403187292,1.0,1.0
1300,2,0.014975497404975556,0.04824497828853673,0.0025518434525878104,1.7840898036956787,295.40625,0.1712409543288377,1.0,1.0
1400,2,0.021675929356523075,0.04075025094636129,0.002130428865660398,1.815293312072754,295.296875,0.14533901345674272,1.0,1.0
1500,2,0.02442459979393747,0.03331188469081015,0.0017062427367478422,1.8464829921722412,293.53125,0.12033192002163806,1.0,1.0
1600,2,0.02239126437628019,0.01749877720066906,0.0008075759238871295,1.8774068355560303,293.53125,0.07178200102660384,1.0,1.0
1700,2,0.01860877720207516,0.010718359947319,0.00046116982891676437,1.9085166454315186,293.53125,0.055950311108263324,1.0,1.0
1800,2,0.016850767834207372,0.009251190193534922,0.00036953289659931454,1.9393434524536133,293.53125,0.053319964953907714,1.0,1.0
1900,2,0.013467031500682968,0.007530545414743266,0.0002380700516838982,1.970346450805664,293.53125,0.050753242427039165,1.0,1.0
2000,2,0.009193014383520307,0.005803412034580421,0.0001181911046987241,2.0012218952178955,293.53125,0.04880763267927288,1.0,1.0
