epoch,frame,norm_fu,loss,walltime,memory,error_u
0,0,23.570049859286577,555.5472503692552,0.11905217170715332,210.046875,0.22360679774997896
1,1,10.143198425142849,102.88447429182038,0.8144509792327881,263.203125,0.21992890208506943
2,1,7.987280704920115,63.796653059189175,0.8170461654663086,263.25,0.21913684575908704
3,1,7.393254456176212,54.66021145376941,0.8177881240844727,263.28125,0.21882271521506055
4,1,7.040694426986233,49.571378014195005,0.8179123401641846,263.28125,0.21852963207750875
5,1,6.700238370510464,44.893194221660714,0.8180382251739502,263.28125,0.21810072597374217
6,1,6.434480358460788,41.40253748341767,0.8181502819061279,263.28125,0.21749778749069992
7,1,6.040124596912247,36.48310514622433,0.8182573318481445,263.28125,0.21724801011662986
8,1,5.682678853838907,32.29283895586787,0.8183743953704834,263.28125,0.21685690657857107
9,1,5.492280632377899,30.165146544793377,0.8184924125671387,263.296875,0.2165078443489423
100,1,1.0171608735464812,1.0346162426738408,0.8466665744781494,263.34375,0.19723323877363594
200,1,0.33066144165179906,0.10933698899524612,0.8770432472229004,263.34375,0.19274271000797558
300,1,0.1502613877021782,0.02257848463418431,0.9077956676483154,263.46875,0.19216183422330288
400,1,0.05964366915052471,0.003557367269737253,0.940011739730835,263.375,0.1917819374864519
500,1,0.05460059875502609,0.0029812253844073563,0.9716432094573975,263.375,0.19174421474118875
600,1,0.0541038699895759,0.0029272287478489317,1.002406120300293,263.375,0.19171713502039578
700,1,0.054063807715157154,0.002922895304661486,1.0334973335266113,263.375,0.19162282691589227
800,1,0.05378673270313251,0.002893012614878224,1.0642542839050293,263.375,0.19054732071633276
900,1,0.05368117826308734,0.0028816688997133607,1.0963170528411865,252.75,0.19011567420770448
1000,1,0.05357890885276461,0.002870699473852858,1.127906322479248,252.71875,0.18948707763534772
1100,2,0.052926397385183385,0.002801203540174347,1.1593809127807617,272.171875,0.18541225038879636
1200,2,0.05136861090555564,0.00263873418636637,1.1900124549865723,272.171875,0.17542187694929856
1300,2,0.045407770209749114,0.0020618655954213793,1.2203192710876465,272.171875,0.1423657769022178
1400,2,0.0277318088942719,0.0007690532245484181,1.25026535987854,272.171875,0.07311369912876386
1500,2,0.022942583904250653,0.000526362156203581,1.2799320220947266,272.171875,0.06197117193783752
1600,2,0.020131895900357848,0.0004052932325428451,1.3097689151763916,272.1875,0.05644018180978326
1700,2,0.01681854585608661,0.00028286348471328807,1.3395724296569824,272.1875,0.05193490097650713
1800,2,0.009967706974842228,9.935518233631841e-05,1.3692424297332764,272.1875,0.04794801422871982
1900,2,0.007036237705765429,4.9508641052035146e-05,1.3994033336639404,272.203125,0.04753009011684802
2000,2,0.005870297365409326,3.4460391158331676e-05,1.429145097732544,272.203125,0.047475097487514904
