epoch,loss,pde,cont,mom,bc,data,eik,err_u,err_chi,kphi
1,142.53745636071184,142.52409073714804,8.448472879582319,134.07561785756573,0.0,0.0,0.01338029001833457,0.4770682380432682,3.7019693854076756,9.993070929904524
200,49.78201873269637,49.777307243377194,7.420692609231484,42.35661463414571,0.0004640785569802201,0.0,8.802245470369586e-05,0.485635162231016,3.7547916638125955,8.705505632961241
400,22.39419541820455,22.38300020793595,5.8805617082061445,16.502438499729806,0.0011109165770627827,0.0,0.00014283783674894315,0.43775445381808703,3.7592893489907246,7.57858283255199
600,11.595025733871054,11.5814523622744,4.632055034769903,6.949397327504497,0.0013547830369639471,0.0,4.945992550875241e-05,0.3837700110464213,3.762580032098058,6.597539553864471
800,6.95202274239717,6.936895102360623,3.719804320930826,3.2170907814297975,0.0015114948820049152,0.0,2.630881533294476e-05,0.3364646105027443,3.762580032098058,5.743491774985174
1000,4.7425264460212135,4.726490387120952,3.0468674478961035,1.6796229392248485,0.0016027014808513915,0.0,2.012619100179636e-05,0.2975098945068436,3.762580025498078,5.0
1200,3.568320852053,3.5516579190123023,2.539177941711185,1.0124799773011173,0.0016644138120522766,0.0,7.805313581810472e-05,0.26611120354140066,3.75978241959211,4.352752816480621
1400,2.8109562517038547,2.793104194776026,2.133485985813285,0.6596182089627413,0.0016594235351551612,0.0,0.008734516124097196,0.24014922772469782,3.655155256821616,3.7892914162759954
1600,2.2591716992841535,2.2432939138386097,1.7831243760103808,0.460169537828229,0.0015162667547545532,0.0,0.006540360695421585,0.216202620359145,3.637761973083238,3.2987697769322355
1800,1.8677647699302864,1.85392999813181,1.5007097485987682,0.35322024953304193,0.0013092866059730797,0.0,0.008955310974880034,0.2041731441413619,3.6519232959703984,2.871745887492587
2000,1.5687742345148596,1.556204097483961,1.2726229595498877,0.2835811379340733,0.0011678003279133426,0.0,0.01422092030461043,0.19381248274768723,3.6449420958862713,2.5
2200,1.3133055385065906,1.302354072327699,1.0757163559819147,0.22663771634578428,0.0009990159770442923,0.0,0.020227467463874813,0.1847153476052828,3.639691585326003,2.17637640824031
2400,1.105329966680379,1.0962618410367182,0.9086075788651141,0.18765426217160416,0.0008341451736235577,0.0,0.020157406548429964,0.1762291163714715,3.628162679104754,1.8946457081379977
2600,0.9334241239974709,0.9251965582641707,0.7663808681265629,0.1588156901376077,0.0007612522145962774,0.0,0.022498654448262104,0.16700204314488237,3.5910713810036796,1.6493848884661177
2800,0.786492395257456,0.7787374955618657,0.643875965135691,0.13486153042617463,0.0007187210451139529,0.0,0.027395498929093178,0.1578012142405284,3.546560721198821,1.4358729437462938
3000,0.6605926841603266,0.6532951239753758,0.5382320496990086,0.11506307427636729,0.0006750354674490899,0.0,0.03484097598073293,0.14906521518460494,3.521917842389317,1.25
3200,0.5523289445290566,0.5453962250249076,0.4477361509167836,0.09766007410812397,0.0006479922311125236,0.0,0.03800788944872504,0.14080163837970985,3.4821520048940457,1.088188204120155
3400,0.4604138922364494,0.4539702504746379,0.37057930735143335,0.08339094312320455,0.0005992133562709384,0.0,0.044885238046952686,0.1333081404510136,3.457170484719337,1.0
3600,0.38212247027926477,0.3757932374456029,0.3050796197691561,0.07071361767644682,0.0005860241278692644,0.0,0.04664124439080469,0.12628635443265146,3.426884303094967,1.0
3800,0.3166662482182367,0.3106748831275323,0.25020385901578385,0.06047102411174845,0.0005562033833581558,0.0,0.04268112975827989,0.12008802108506027,3.4047473796577514,1.0
4000,0.2615133853402888,0.25582869011940934,0.20446559110914356,0.051363099010265784,0.0005263450484131799,0.0,0.04187642451427226,0.11451149795984414,3.3906923430877676,1.0
4200,0.21514398988895006,0.209505212839874,0.1661947421462122,0.043310470693661805,0.0005215063628509602,0.0,0.04213029464203909,0.1093099985620036,3.365089280529728,1.0
4400,0.1774459905608676,0.17204884714690066,0.13506262909643832,0.03698621805046235,0.0005012832851836555,0.0,0.0381960731563684,0.10451393677644492,3.3410336052560536,1.0
4600,0.1469022519356177,0.1417436334507715,0.11001491789544449,0.031728715555327025,0.00048057781728303594,0.0,0.03505596132807795,0.10013338962945927,3.309570114651391,1.0
4800,0.12244559733823232,0.11736023282852914,0.0898721232745952,0.027488109553933934,0.000473018214032039,0.0,0.03529566491713927,0.09620066813236938,3.2934355965540414,1.0
5000,0.10213217300742754,0.0973113062149983,0.07364979406024859,0.023661512154749705,0.00044813669576693356,0.0,0.03373383948072677,0.09270414135331541,3.263016391798687,1.0
5200,0.08667423808564642,0.08190675195286222,0.0611505945340417,0.020756157418820524,0.00044356990358715377,0.0,0.032971102152212176,0.08960785348782312,3.225066281046814,1.0
5400,0.07435414597756725,0.06972691952136868,0.0514358366121734,0.018291082909195285,0.00043404053661478094,0.0,0.028480949639406155,0.08682049161621215,3.1949494346823735,1.0
5600,0.06454501590802904,0.06005653221818636,0.04387776486018266,0.016178767358003696,0.00042315426604849164,0.0,0.02549883782406051,0.08435359004600278,3.1706889543000436,1.0
