epoch,frame,norm_fu,norm_fu_mg1,loss,walltime,memory,error_u,rel_error_u,residual_u,weight_pde,weight_mg
0,0,2265.0550377378254,1997.881777752724,9122005.921857886,0.45995187759399414,363.53125,0.4841352906418049,1.0,2265.055037737826,1.0,1.0
1,1,2265.0550377378254,1997.881777752724,9122005.921857886,0.5664107799530029,407.90625,0.4767222515403666,0.9846880835900003,2226.1655977791115,1.0,1.0
2,1,2226.165597779111,1949.2200555268146,8755272.093603184,0.5667357444763184,407.90625,0.4687810366749194,0.9682851998941643,2187.9767007739583,1.0,1.0
3,1,2187.976700773958,1901.8362988153854,8404223.350621497,0.5670168399810791,407.90625,0.4611676488654066,0.9525594555481575,2153.3441791088576,1.0,1.0
4,1,2153.3441791088585,1856.3660807629662,8082986.17950926,0.5672988891601562,407.90625,0.4540325662661104,0.9378216689475619,2120.643455162391,1.0,1.0
5,1,2120.6434551623915,1812.0031604523972,7780484.1174125625,0.5675687789916992,407.921875,0.447236735434242,0.9237846198763006,2089.76169506608,1.0,1.0
6,1,2089.761695066081,1768.8277925946786,7495855.702020822,0.5678255558013916,407.921875,0.44070324792849497,0.9102894510009109,2061.0175807324467,1.0,1.0
7,1,2061.0175807324463,1727.1034002486515,7230679.623238681,0.5680942535400391,407.921875,0.4343548050697577,0.8971764989367857,2034.4471741600917,1.0,1.0
8,1,2034.447174160092,1686.9515656946555,6984780.889447633,0.5683493614196777,407.921875,0.4281200844661495,0.884298444549668,2009.703428845617,1.0,1.0
9,1,2009.7034288456177,1648.3106277462127,6755835.797454946,0.568608283996582,407.953125,0.42197636331951294,0.8716083530289859,1986.449398042737,1.0,1.0
10,1,1986.4493980427371,1611.1094352158264,6541654.823225811,0.5688722133636475,407.953125,0.4159459373740506,0.8591522770889982,1964.6000531404193,1.0,1.0
20,1,1804.3317775090088,1314.0380150224144,4982309.068252865,0.5713365077972412,407.96875,0.36334875340875883,0.7505107775288956,1787.123107661026,1.0,1.0
30,1,1620.4879390095482,1109.58562704382,3857161.4242176404,0.5739235877990723,407.984375,0.31625692570262026,0.6532408023454913,1601.2751953006994,1.0,1.0
40,1,1434.1508011752128,956.2865323331048,2971272.452433179,0.5763883590698242,408.0,0.2767774118968103,0.5716943533075106,1416.6610322759755,1.0,1.0
50,1,1270.2908326641661,824.8481063320182,2294013.198070137,0.5788242816925049,408.0,0.2482036194763834,0.5126740898135037,1255.1545274394114,1.0,1.0
60,1,1126.9465713792451,707.2189568845683,1770167.227720333,0.58132004737854,408.015625,0.22816813139935863,0.4712900212188258,1113.511591030499,1.0,1.0
70,1,999.0758013172035,606.1248424072679,1365539.7813608476,0.5837674140930176,408.03125,0.21347636977970308,0.44094362444989976,987.041130726411,1.0,1.0
80,1,884.6581094139246,520.439070316793,1053476.7964640274,0.5862405300140381,408.03125,0.20230088381374095,0.4178602298245109,873.9351787386923,1.0,1.0
90,1,783.0816758262312,447.01351038353215,813037.9894802268,0.5887014865875244,408.03125,0.19376765837309143,0.40023452559349465,773.5983139751728,1.0,1.0
100,1,693.3867950604997,383.6860415500524,628000.22604462,0.5911645889282227,408.078125,0.18678904128653667,0.38581992450687813,685.0156621779001,0.8624821354450299,1.159444304877124
110,2,537.3803304466626,371.50480191894314,426793.4373997974,0.5940124988555908,427.015625,0.1808662139182624,0.3735860975523867,617.1702554723202,0.8624821354450299,1.159444304877124
120,2,489.3095883358426,306.37103548908,333287.08462404285,0.59647536277771,427.015625,0.17476142541963618,0.3609764229084803,562.0082930843195,0.8624821354450299,1.159444304877124
130,2,444.84388793290293,257.3485790307281,264114.375760396,0.599170446395874,427.015625,0.16805638562824618,0.34712690621139897,510.8168364877391,0.8624821354450299,1.159444304877124
140,2,403.55942707971775,219.89563483582356,211214.3014047599,0.6016943454742432,427.015625,0.16150034037188477,0.3335851434374639,463.3246610991311,0.8624821354450299,1.159444304877124
150,2,365.6344810643636,190.54411478742205,169995.63342332875,0.6042020320892334,427.03125,0.15536329797767137,0.32090884713591217,419.772070446135,0.8624821354450299,1.159444304877124
160,2,331.4508309451527,166.347861997582,137531.26452539876,0.6066920757293701,427.046875,0.1495609525914178,0.30892388033342694,380.56667365073156,0.8624821354450299,1.159444304877124
170,2,300.7154241839697,145.92536952478648,111723.97981309031,0.609196662902832,427.0625,0.1442368032641219,0.297926645820244,345.2941174857822,0.8624821354450299,1.159444304877124
180,2,272.92124097525374,128.78571827302437,91071.76500657132,0.6116554737091064,427.078125,0.1394132758211724,0.2879634649982984,313.38609038119876,0.8624821354450299,1.159444304877124
190,2,247.71898332613353,114.44360804703685,74462.03412295702,0.6141073703765869,427.09375,0.13497563339944266,0.27879734447887317,284.44506101706725,0.8624821354450299,1.159444304877124
200,2,224.80717215354636,102.52779181298489,61050.212745721,0.6165950298309326,427.09375,0.1308833743582415,0.27034462657066993,258.1315531775521,0.7087743112229821,1.410886348680599
210,3,170.7197653043642,107.51069052143842,40703.786841973706,0.6203970909118652,448.203125,0.1267217352659995,0.26174860150766527,239.32897366128114,0.7087743112229821,1.410886348680599
220,3,160.54361618819772,90.89910216892963,34036.89947390085,0.6229920387268066,448.203125,0.1230047879007494,0.25407110425204765,225.12914769191616,0.7087743112229821,1.410886348680599
230,3,150.95035485976385,79.00307764455485,29027.49590960019,0.6257102489471436,448.203125,0.11949573929801098,0.24682302985927498,211.6347446060217,0.7087743112229821,1.410886348680599
240,3,141.55033418439703,70.69920022335485,25034.874019936495,0.6283009052276611,448.203125,0.11614229102575462,0.23989635391336162,198.4056833213768,0.7087743112229821,1.410886348680599
250,3,132.5053761394522,64.8086433835127,21757.834963069035,0.6308498382568359,448.21875,0.113154463727774,0.23372488210427345,185.71839242973525,0.7087743112229821,1.410886348680599
260,3,124.02544488496711,60.152571997112055,19000.642896781763,0.6334939002990723,448.21875,0.11051679733984016,0.22827668107675247,173.83023754445975,0.7087743112229821,1.410886348680599
270,3,116.03738287370318,56.389593031322775,16644.46042641659,0.6359970569610596,448.234375,0.10815187046716,0.2233918339722478,162.6226708643785,0.7087743112229821,1.410886348680599
280,3,108.47386505187039,53.330477297183194,14610.71920803676,0.6386260986328125,448.234375,0.10597680837663105,0.21889915985290084,152.01089987363437,0.7087743112229821,1.410886348680599
290,3,101.34167725844428,50.854162242022674,12856.281366892646,0.6411969661712646,448.234375,0.10396023203652585,0.21473384412590255,142.01002197649663,0.7087743112229821,1.410886348680599
300,3,94.63442100331531,48.72100378277506,11329.409848233907,0.6437082290649414,448.25,0.10208824292737473,0.21086717886655018,132.60463778901266,0.6003779631719615,1.6656174299215205
310,4,76.48269839368785,53.91563773456625,8756.499145904809,0.646460771560669,459.25,0.10006001855012063,0.20667780367234498,126.9233284801209,0.6003779631719615,1.6656174299215205
320,4,73.30903088015204,49.26841387635599,7801.590614478993,0.6490349769592285,459.25,0.09828771900300008,0.20301705102452405,121.57401011077341,0.6003779631719615,1.6656174299215205
330,4,70.44258849605667,45.35163134365835,7018.92873955587,0.6517367362976074,459.25,0.0965264181367172,0.19937901657355894,116.88065536169265,0.6003779631719615,1.6656174299215205
340,4,67.66681750927847,42.51249666946574,6386.110564905332,0.6542041301727295,459.25,0.09482116231495895,0.19585674531029773,112.21585322322683,0.6003779631719615,1.6656174299215205
350,4,64.76861709587602,40.53906085834574,5838.389215788863,0.6566839218139648,459.25,0.09323569760530089,0.19258190718074047,107.39809544384585,0.6003779631719615,1.6656174299215205
360,4,61.931508846294676,38.93142916453194,5351.167964771645,0.6591634750366211,459.25,0.09174088691246042,0.1894943183977397,102.68565478484625,0.6003779631719615,1.6656174299215205
370,4,59.13575113997169,37.63198132520675,4913.203081349372,0.661630392074585,459.25,0.09030873527916496,0.18653615430398626,98.03741779213831,0.6003779631719615,1.6656174299215205
380,4,56.41277098663573,36.51336024008572,4515.626206412882,0.6641490459442139,459.25,0.08891639688433045,0.1836602259803379,93.51675171586973,0.6003779631719615,1.6656174299215205
390,4,53.788100594316624,35.51010586742596,4154.127384260124,0.6666274070739746,459.265625,0.08756146556100795,0.18086156339673176,89.16289408918391,0.6003779631719615,1.6656174299215205
400,4,51.2676494589574,34.58957022770288,3824.8102495837247,0.6691219806671143,459.28125,0.08624310211907298,0.17813843317379913,84.98239258622421,0.5441268829802149,1.8378066426766877
410,5,45.07546728265039,36.13623708279878,3337.625381253528,0.6726348400115967,452.28125,0.08483493521495142,0.17522981045750263,82.60177045748891,0.5441268829802149,1.8378066426766877
420,5,43.65457877611254,34.77151385588185,3114.7804239495986,0.6752722263336182,450.53125,0.08349394123982348,0.1724599360008188,79.9780345804547,0.5441268829802149,1.8378066426766877
430,5,42.474823316968184,32.89692462742425,2886.3182657500965,0.6815915107727051,441.21875,0.08214165674596006,0.16966674054491487,77.8412500517623,0.5441268829802149,1.8378066426766877
440,5,41.18434272277605,31.681306807242372,2699.855286521699,0.6842179298400879,441.28125,0.08082006151411458,0.16693693493604575,75.44887719826708,0.5441268829802149,1.8378066426766877
450,5,39.787661427567684,30.372126887005507,2505.52409351512,0.686553955078125,441.375,0.07953092704996305,0.16427417828708807,72.86877179938867,0.5441268829802149,1.8378066426766877
460,5,38.37686057242283,29.413039993492323,2337.9103490539605,0.6888551712036133,441.375,0.0782772784561857,0.16168471906358173,70.27222548652175,0.5441268829802149,1.8378066426766877
470,5,36.95887633609948,28.584665957761125,2183.041667943882,0.6913352012634277,441.375,0.07706656904214304,0.15918395236170038,67.66270392415481,0.5441268829802149,1.8378066426766877
480,5,35.56174352964698,27.83846028861055,2039.6174741089358,0.6938583850860596,439.140625,0.07589201397670743,0.15675786385268356,65.10281348733618,0.5441268829802149,1.8378066426766877
490,5,34.198585087107645,27.181529214620937,1908.3787524054333,0.6961550712585449,439.140625,0.07476057623020774,0.15442083581864005,62.60646328236705,0.5441268829802149,1.8378066426766877
500,5,32.891625400098086,26.652227950993268,1792.2002762120842,0.6984891891479492,439.140625,0.07367282042135882,0.1521740345011676,60.225153935776476,0.5162525727250983,1.9370363516473825
510,6,30.91814943763632,32.04749582604435,1982.973953368341,0.7010035514831543,443.75,0.07261619480938897,0.1499915337985869,59.369838261758055,0.5162525727250983,1.9370363516473825
