epoch,frame,norm_cont,norm_mom_u,norm_mom_v,norm_p_gauge,loss,walltime,memory,div_rms,umax,umin,vmax,vmin,speed_max
0,0,0.0,0.905096709728241,0.0,0.0,0.8192000389099121,0.5232949256896973,354.40625,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.905096709728241,0.0,0.0,0.8192000389099121,0.6743807792663574,409.3125,8.520399319422722e-08,0.006007619667798281,-0.0009921812452375889,0.0,0.0,0.006007619667798281
2,1,0.016770463436841965,0.8972663283348083,0.00508874049410224,6.632241422721563e-09,0.8053939938545227,0.682452917098999,407.234375,0.027195878326892853,0.01200571283698082,-0.0024051442742347717,0.004775648470968008,-0.004307551309466362,0.012809810228645802
3,1,0.05877773463726044,0.8918867111206055,0.021121952682733536,1.5099695716003225e-08,0.79936283826828,0.6843829154968262,406.859375,0.04009583592414856,0.01799926906824112,-0.0036710668355226517,0.005282449536025524,-0.00619426928460598,0.018369276076555252
4,1,0.05663224682211876,0.8819339871406555,0.02556275762617588,1.961813467232787e-08,0.7816682457923889,0.6868247985839844,406.796875,0.039265844970941544,0.023976705968379974,-0.005363413132727146,0.007409663870930672,-0.007618954870849848,0.02466069534420967
5,1,0.07031771540641785,0.886832594871521,0.02827153541147709,2.5766404121441155e-08,0.7922159433364868,0.6886389255523682,406.78125,0.04417848587036133,0.029923103749752045,-0.0072507113218307495,0.01025643665343523,-0.007889497093856335,0.03079380840063095
6,1,0.0806073322892189,0.866531252861023,0.03157816454768181,3.1293652114072756e-08,0.7583711743354797,0.6904280185699463,406.796875,0.04564272239804268,0.03583623468875885,-0.007615723647177219,0.013306199572980404,-0.007933782413601875,0.036505501717329025
7,1,0.09107845276594162,0.8586989641189575,0.032460104674100876,3.66027315124029e-08,0.746712863445282,0.6922361850738525,406.8125,0.04885629191994667,0.04174424707889557,-0.007349895779043436,0.01618197187781334,-0.008806337602436543,0.04239896312355995
8,1,0.10348007827997208,0.8509520888328552,0.035159364342689514,4.19523900063723e-08,0.7360637784004211,0.6939282417297363,406.828125,0.05656500905752182,0.047659847885370255,-0.007749178446829319,0.01888291724026203,-0.01011316105723381,0.048568837344646454
9,1,0.11655566096305847,0.8433679342269897,0.03937934711575508,4.7513417200661934e-08,0.7264053821563721,0.6955771446228027,406.828125,0.06325387954711914,0.053580138832330704,-0.007948717102408409,0.021418627351522446,-0.011381041258573532,0.05469011142849922
