epoch,frame,norm_cont,norm_mom_u,norm_mom_v,norm_p_gauge,loss,walltime,memory,div_rms,rel_rms,mean_abs,umax,umin,vmax,vmin,speed_max
0,0,0.72391277551651,0.18780800700187683,0.24365730583667755,0.0,0.6186904311180115,0.6758160591125488,363.296875,0.72391277551651,0.6254153682898365,0.07673664008178335,0.44925057888031006,-0.26988348364830017,0.25017049908638,-0.4863954484462738,0.4877733290195465
1,1,0.72391277551651,0.18780800700187683,0.24365730583667755,0.0,0.6186904311180115,0.8884499073028564,410.296875,0.6357086300849915,0.6125828734348157,0.07333955333902464,0.44925057888031006,-0.26988348364830017,0.25017049908638,-0.4863954484462738,0.4877733290195465
2,1,0.6357085704803467,0.18428689241409302,0.23335856199264526,4.518588170299154e-08,0.4925432801246643,0.890406608581543,412.140625,0.5641827583312988,0.6007710576909909,0.07033088901550633,0.44925057888031006,-0.26988348364830017,0.25017049908638,-0.4863954484462738,0.4877733290195465
3,1,0.564182698726654,0.1740369200706482,0.21874241530895233,7.044787508903028e-08,0.39643919467926025,0.8923447132110596,412.203125,0.5097383260726929,0.5897066156408769,0.06773222820871583,0.44925057888031006,-0.26988348364830017,0.25017049908638,-0.4863954484462738,0.4877733290195465
4,1,0.5097382664680481,0.1667068749666214,0.20518231391906738,8.726382816348632e-08,0.3297240734100342,0.8943057060241699,412.203125,0.46447157859802246,0.579248106541621,0.06551749973484933,0.44925057888031006,-0.26988348364830017,0.25017049908638,-0.4863954484462738,0.4877733290195465
5,1,0.46447157859802246,0.1640944629907608,0.1958422213792801,1.0151696727689341e-07,0.2810150384902954,0.8962478637695312,412.203125,0.42586174607276917,0.5694367899955699,0.06367112961599664,0.44925057888031006,-0.26988348364830017,0.25017049908638,-0.4863954484462738,0.4877733290195465
6,1,0.42586174607276917,0.16180355846881866,0.18693238496780396,1.1381705888879878e-07,0.24248233437538147,0.8980357646942139,412.203125,0.3936750292778015,0.560291473124904,0.06215344296149494,0.44925057888031006,-0.26988348364830017,0.25017049908638,-0.4863954484462738,0.4877733290195465
7,1,0.3936750292778015,0.15890683233737946,0.17751093208789825,1.2414982109021366e-07,0.21174153685569763,0.8999216556549072,412.203125,0.36699435114860535,0.5518031379592501,0.060886445195756256,0.44925057888031006,-0.26988348364830017,0.25017049908638,-0.4863954484462738,0.4877733290195465
8,1,0.3669942617416382,0.1568186730146408,0.16906248033046722,1.3218065930686862e-07,0.18785901367664337,0.9018745422363281,412.21875,0.3439686894416809,0.5439532459196652,0.059798459135005366,0.44925057888031006,-0.26988348364830017,0.25017049908638,-0.4863954484462738,0.4877733290195465
9,1,0.3439686596393585,0.15575896203517914,0.1621536910533905,1.376914866568768e-07,0.16886909306049347,0.9037606716156006,412.21875,0.3228149116039276,0.5367313770163566,0.05883440985401167,0.44925057888031006,-0.26988348364830017,0.25156453251838684,-0.4863954484462738,0.4877733290195465
50,1,0.0401739738881588,0.09231694042682648,0.09812243282794952,1.3627429495954857e-07,0.019764378666877747,0.9798195362091064,413.703125,0.03918987885117531,0.46040369356577254,0.04442987546467547,0.44925057888031006,-0.26988348364830017,0.25017049908638,-0.4863954484462738,0.4877733290195465
100,1,0.01981545053422451,0.06338517367839813,0.06608093529939651,1.4952777860344213e-07,0.008777022361755371,1.072667121887207,411.625,0.01970730721950531,0.43103136148257853,0.034960531885505075,0.44925057888031006,-0.27036961913108826,0.2526542544364929,-0.4863954484462738,0.4877733290195465
150,1,0.014993644319474697,0.047714412212371826,0.04623548313975334,1.5927516017200105e-07,0.004639194346964359,1.1671855449676514,414.140625,0.014948566444218159,0.40935969297525654,0.02940110841823973,0.44925057888031006,-0.2702372670173645,0.2545718848705292,-0.4863954484462738,0.4877733290195465
200,1,0.012307923287153244,0.03972512111067772,0.03489026799798012,1.6561804727643903e-07,0.002946901135146618,1.2608253955841064,412.734375,0.012239857576787472,0.39126355448103506,0.02589077710544041,0.44925057888031006,-0.27010244131088257,0.25536656379699707,-0.4863954484462738,0.4877733290195465
250,1,0.010794831439852715,0.035313114523887634,0.029058555141091347,1.692063591463011e-07,0.002207944169640541,1.354015588760376,412.0,0.01079543773084879,0.3751575877649085,0.02349187518632201,0.44925057888031006,-0.2700360119342804,0.2554520070552826,-0.4863954484462738,0.4877733290195465
300,1,0.010178830474615097,0.03215683251619339,0.02565043792128563,1.7124452256211953e-07,0.0017956154188141227,1.4473576545715332,413.078125,0.010159867815673351,0.3603751964397217,0.021839594462206735,0.44925057888031006,-0.2700074017047882,0.25599992275238037,-0.4863954484462738,0.4877733290195465
350,1,0.009941027499735355,0.029565010219812393,0.02335023507475853,1.726313598737761e-07,0.001518147299066186,1.5403892993927002,417.390625,0.009989329613745213,0.34702322673742536,0.020761147718625583,0.44925057888031006,-0.2700043022632599,0.2565455436706543,-0.4863954484462738,0.4877733290195465
400,1,0.009663994424045086,0.027355749160051346,0.02155367098748684,1.7382004102728388e-07,0.0013062905054539442,1.6342291831970215,421.828125,0.009640862233936787,0.3360192924059462,0.020152816093549575,0.44925057888031006,-0.27003732323646545,0.2572293281555176,-0.4863954484462738,0.4877733290195465
450,1,0.009739343076944351,0.025869110599160194,0.02026413381099701,1.7475362312779907e-07,0.001174700679257512,1.728245496749878,424.703125,0.009811226278543472,0.32898390669143734,0.01992590210684142,0.44925057888031006,-0.2700692117214203,0.25807395577430725,-0.4863954484462738,0.4877733290195465
500,1,0.009426471777260303,0.02468760870397091,0.019121116027235985,1.752844269731213e-07,0.001063953386619687,1.8210678100585938,424.84375,0.009404274635016918,0.3254645530957042,0.01989080317118308,0.44925057888031006,-0.2700941562652588,0.2585855722427368,-0.4863954484462738,0.4877733290195465
550,1,0.009427359327673912,0.023800332099199295,0.018133876845240593,1.7551903397361457e-07,0.0009841684950515628,1.9148528575897217,429.109375,0.009403458796441555,0.3237042854353968,0.01992339654804942,0.44925057888031006,-0.2701132893562317,0.25901493430137634,-0.4863954484462738,0.4877733290195465
600,1,0.009372138418257236,0.022990280762314796,0.01721317693591118,1.755107348344609e-07,0.0009126834338530898,2.007650375366211,430.3125,0.009456945583224297,0.3227554074304168,0.019988883379239653,0.44925057888031006,-0.2701380252838135,0.2591977119445801,-0.48671454191207886,0.4879383146762848
650,1,0.00885053537786007,0.022078286856412888,0.016151228919625282,1.7530896911921445e-07,0.0008266449440270662,2.1016359329223633,434.859375,0.00886419229209423,0.3221738607319033,0.02005419909670203,0.44925057888031006,-0.2701549828052521,0.2592562437057495,-0.48795777559280396,0.4890960156917572
700,1,0.009542743675410748,0.021368034183979034,0.01541951484978199,1.7491305470684892e-07,0.0007854182622395456,2.1948187351226807,436.890625,0.009570030495524406,0.32170935193291655,0.02010059798554864,0.44925057888031006,-0.2701748013496399,0.25917598605155945,-0.4891698360443115,0.4902277886867523
750,1,0.009800165891647339,0.020725997164845467,0.014724775217473507,1.7432614640711108e-07,0.000742429168894887,2.288032293319702,440.09375,0.009724188596010208,0.3212052151922381,0.02011841141707016,0.44925057888031006,-0.27019166946411133,0.25902241468429565,-0.4903950095176697,0.49138131737709045
800,1,0.009900263510644436,0.019913362339138985,0.013845478184521198,1.7378364702835825e-07,0.0006862545269541442,2.381186008453369,442.328125,0.009836843237280846,0.3205586490392761,0.020110301972515288,0.44925057888031006,-0.2702045440673828,0.2588644325733185,-0.4916658401489258,0.492715448141098
