epoch,frame,norm_pde,norm_init,loss,walltime,memory,error_u,weight_pde,weight_init
0,0,96.54363602460423,0.03952847075210474,9320.675219351258,0.14805912971496582,217.203125,0.22360679774997896,1.0,1.0
1,0,96.54363602460423,0.03952847075210474,9320.675219351258,0.21545886993408203,218.40625,0.22359126967843881,1.0,1.0
2,0,95.76190319257894,0.03944975113244632,9170.343659347725,0.21571874618530273,218.40625,0.22360310294233277,1.0,1.0
3,0,94.99548050059562,0.03950996545837603,9024.142876576414,0.2159137725830078,218.40625,0.22361321338373616,1.0,1.0
4,0,94.21980358986333,0.03949658200846695,8877.372948492413,0.2160937786102295,218.40625,0.2236329629248879,1.0,1.0
5,0,93.45400603238755,0.03947759569492892,8733.65280198209,0.21626639366149902,218.40625,0.22364827328404868,1.0,1.0
6,0,92.69018496982208,0.03948095409179946,8591.471948485569,0.21643638610839844,218.40625,0.22366830643505914,1.0,1.0
7,0,91.9308170794489,0.03950156813755085,8451.276689268978,0.21660542488098145,218.40625,0.22368737613134496,1.0,1.0
8,0,91.17723847744173,0.03952624997956037,8313.29037869672,0.21677327156066895,218.40625,0.22370381499657285,1.0,1.0
9,0,90.42706246342719,0.039542841680226176,8177.05518940089,0.21694326400756836,218.40625,0.223720666912722,1.0,1.0
10,0,89.68175440208594,0.03954691946040516,8042.8186365948995,0.21846938133239746,218.40625,0.22373927218698067,1.0,1.0
20,0,82.49841062855508,0.03950576600035819,6805.989316943238,0.22184348106384277,218.40625,0.22396310389121718,1.0,1.0
30,0,75.87458112153787,0.03952661122245077,5756.953622721826,0.22505497932434082,218.40625,0.22428305202808543,1.0,1.0
40,0,69.85879802179842,0.039531894790935385,4880.253223821132,0.2295544147491455,218.421875,0.22468264874638066,1.0,1.0
50,0,64.438761076533,0.03953401528431897,4152.355492016869,0.2319347858428955,218.421875,0.2251423782569024,1.0,1.0
60,0,59.57880659380235,0.039541977513002445,3549.6357587096913,0.23353338241577148,218.421875,0.22564882745209808,1.0,1.0
70,0,55.229939651801416,0.03955139903783722,3050.3477982547925,0.23490357398986816,218.421875,0.22618969001912279,1.0,1.0
80,0,51.3375904293429,0.039561968422030476,2635.549756240305,0.23617219924926758,218.421875,0.22675538703041012,1.0,1.0
90,0,47.84848467741041,0.03957249833089343,2289.479051907003,0.23743605613708496,218.421875,0.22733737645387928,1.0,1.0
100,0,44.71409648090872,0.03958437155375327,1999.3519910264852,0.23871612548828125,218.4375,0.22792947431577443,1.0,1.0
110,0,41.89209580700449,0.03959738558072093,1754.9492590561877,0.23998141288757324,218.4375,0.2285261120369772,1.0,1.0
120,0,39.346412365347106,0.039611461862600554,1548.1417350918503,0.2412412166595459,218.4375,0.22912269697527457,1.0,1.0
130,0,37.04637716822326,0.039626404705228754,1372.4356315422033,0.2427060604095459,218.4375,0.22971607401624786,1.0,1.0
140,0,34.96591828516789,0.03964217103386826,1222.6170130267622,0.24413752555847168,218.4375,0.23030410214402766,1.0,1.0
150,0,33.08249239939606,0.039658734160808104,1094.4528761712932,0.24557781219482422,218.4375,0.2308851254413873,1.0,1.0
160,0,31.376375738814733,0.039675950941239685,984.4785286843648,0.2470414638519287,218.4375,0.23145783571278114,1.0,1.0
170,0,29.830153197374063,0.039693820708573566,889.8396153782085,0.24848103523254395,218.4375,0.23202128173813585,1.0,1.0
180,0,28.428490518372488,0.03971243501571311,808.1806502306894,0.24991464614868164,218.4375,0.23257430343727437,1.0,1.0
190,0,27.157569758529103,0.03973179578212589,737.5351738049704,0.25134801864624023,218.453125,0.23311626345533987,1.0,1.0
200,0,26.005423910680474,0.03975207506937494,676.2836530016641,0.25278258323669434,218.453125,0.2336430814298629,1.0,1.0
