epoch,frame,norm_fu,loss,walltime,memory,error_u,rel_error_u,residual_u
0,0,2265.0550377378254,5130474.323981501,0.3321268558502197,358.15625,0.4841352906418049,1.0,2265.055037737826
1,1,2265.0550377378254,5130474.323981501,0.4343698024749756,402.8125,0.4764740434967174,0.9841754003618881,2224.8342414849776
2,1,2224.8342414849776,4949887.402084036,0.43469691276550293,402.8125,0.46834891991494226,0.9673926461631519,2185.6108674414495
3,1,2185.61086744145,4776894.863878167,0.43494296073913574,402.8125,0.46058978969229164,0.9513658652764198,2149.802044089776
4,1,2149.8020440897767,4621648.828772582,0.43516969680786133,402.8125,0.45334539834753484,0.9364022972722094,2115.592474061191
5,1,2115.592474061191,4475731.516304351,0.43546366691589355,402.8125,0.44648062960748097,0.9222228543091618,2082.9886242147168
6,1,2082.9886242147168,4338841.608607918,0.43572354316711426,402.8125,0.4399121321527214,0.9086553710421357,2052.370611811616
7,1,2052.3706118116156,4212225.1282279845,0.4359614849090576,402.84375,0.4335320856240684,0.8954771403864131,2023.7606520294005
8,1,2023.7606520294005,4095607.176702464,0.4362013339996338,402.84375,0.42725657771015896,0.8825148382464675,1996.7850099336326
9,1,1996.7850099336322,3987150.3758956552,0.4364354610443115,402.84375,0.421060763522964,0.8697171465537563,1971.057669754672
10,1,1971.0576697546721,3885068.3374987184,0.43666934967041016,402.859375,0.4149644374551564,0.8571249513850754,1946.4428173730564
20,1,1748.9391654471578,3058788.204435001,0.4388754367828369,402.875,0.36102822821510955,0.7457176437943707,1727.5338113981065
30,1,1542.2912621807038,2378662.3373989486,0.4410431385040283,402.890625,0.3140981097059107,0.6487816851556503,1522.853714249539
40,1,1358.167462197049,1844618.8553707723,0.443164587020874,402.890625,0.2774231123696694,0.5730280723842651,1340.8506710544634
50,1,1193.1072736871793,1423504.9665252538,0.4453146457672119,402.921875,0.25106970517468613,0.5185940996820328,1177.5906084024466
60,1,1045.8316322871776,1093763.8030924625,0.44753217697143555,402.921875,0.23259178509587058,0.48042724749011795,1032.027020459685
70,1,914.8546299443065,836958.9939305339,0.44977474212646484,402.921875,0.22029245708528167,0.4550225140440516,902.5937081667219
80,1,798.6423472059546,637829.5987506364,0.4519004821777344,402.953125,0.21256486297547914,0.43906087220720413,787.7760288640404
90,1,695.7711715338554,484097.52313759364,0.45406651496887207,402.953125,0.2072828872733182,0.42815074893327637,686.1646049794714
100,1,604.9197998821287,365927.9642894346,0.45618677139282227,402.96875,0.20302995275695027,0.41936614967233443,596.4483767696463
110,2,524.8963112914588,275516.13760738005,0.4585881233215332,422.890625,0.19907350758323247,0.41119396051324036,517.4470506168711
120,2,454.63264629770356,206690.84307965284,0.46099352836608887,422.890625,0.19503434440336628,0.4028509141418189,448.1026030904636
130,2,393.1288373984248,154550.28279423714,0.4631531238555908,422.890625,0.1907876281002051,0.3940791588386031,387.42652902350926
140,2,339.50520707069796,115263.78562811752,0.4653158187866211,422.890625,0.18635865848900615,0.38493095234176294,334.5444622645931
150,2,292.93892845089937,85813.21580196112,0.46753883361816406,422.90625,0.18181030053683372,0.3755361446504195,288.64049497157083
160,2,252.66413184682483,63839.163521909686,0.4696986675262451,422.90625,0.17722389835490399,0.3660627551442555,248.9565714852134
170,2,218.0054644574465,47526.38253330697,0.47184181213378906,422.90625,0.17266112878272477,0.3566381796993825,214.82370572684704
180,2,188.28971867523734,35453.01815880002,0.4740166664123535,422.921875,0.16818107252886136,0.347384451783939,185.5627005116881
190,2,162.91360599847553,26540.843019426524,0.47634172439575195,422.921875,0.163826437656418,0.3383897865392911,160.59260104993785
200,2,141.36436720347947,19983.884314840187,0.47850608825683594,422.9375,0.15962988670218703,0.3297216496871568,139.40395266241256
210,3,123.10115994420144,15153.895579607864,0.48077893257141113,440.109375,0.15561446118537794,0.32142763436865784,121.43599399410907
220,3,107.68218124659963,11595.452158025531,0.48290371894836426,440.109375,0.15179417481547736,0.3135366864378921,106.28355038726201
230,3,94.70057166615716,8968.19827389697,0.4852159023284912,440.109375,0.14817513382150108,0.3060614185449471,93.52185852973321
240,3,83.77094605949934,7017.571403703548,0.4878370761871338,440.109375,0.14475994552341195,0.2990072162091461,82.78584234564278
250,3,74.65501388671917,5573.3710984262325,0.49019765853881836,440.109375,0.14154590577483325,0.2923684939124965,73.82354973864675
260,3,66.91117478913674,4477.105311662408,0.4926028251647949,440.125,0.13852634461301114,0.28613147459126675,66.22150375952924
270,3,60.429376730521994,3651.7095720393527,0.4951596260070801,440.125,0.13569624326967794,0.2802857917872278,59.83932765044745
280,3,54.99242210933369,3024.1664894511327,0.49746131896972656,440.125,0.13304370956917588,0.2748068817557247,54.49946451528495
290,3,50.39746617785665,2539.904597148205,0.49953222274780273,440.15625,0.13055731910199714,0.26967114694101496,49.992738163153895
300,3,46.603338668993416,2171.871175096897,0.5016398429870605,440.15625,0.12822375509777875,0.2648510810434745,46.23047393037736
310,4,43.181335812332605,1864.6277625374387,0.5049731731414795,444.8125,0.1260321529706221,0.2603242428444841,42.880219107967896
320,4,40.33498812657108,1626.91126717063,0.5071072578430176,444.8125,0.12396971217654716,0.2560641923298009,40.07022555811951
330,4,37.93431482920317,1439.0122415611036,0.5093085765838623,444.828125,0.12202472244126102,0.25204674147901135,37.72821328748298
340,4,35.901749833792046,1288.9356411281874,0.5115301609039307,444.828125,0.1201866103981177,0.2482500505980252,35.719632995206595
350,4,34.24851653968746,1172.9608851692456,0.5136775970458984,444.84375,0.11844750126528109,0.24465785402311507,34.072608194142106
360,4,32.623124295255245,1064.268238783673,0.5157697200775146,444.84375,0.11679293165677669,0.24124027707616089,32.45609630188851
370,4,31.14807587772362,970.2026308844281,0.5179314613342285,444.84375,0.11521533116932002,0.2379816827990007,31.00295095948272
380,4,29.917390123887138,895.0502318248597,0.5201101303100586,442.65625,0.11370617451513344,0.2348644618829507,29.810823544774458
390,4,28.94014629429863,837.5320675354067,0.5222394466400146,442.359375,0.1122579907478757,0.2318731828019774,28.83794300805426
400,4,27.927333031020673,779.9359302255384,0.5243256092071533,440.96875,0.11086411108947244,0.2289940709393503,27.829751767143133
410,5,27.171919891223247,738.3132305750535,0.5266773700714111,423.5625,0.10952301207193613,0.22622397951354564,27.057812877057007
420,5,26.34282355107647,693.9443526431492,0.528698205947876,423.5625,0.10822261251276803,0.22353795437903376,26.257591802967116
430,5,25.527844139021287,651.6708263861634,0.5310502052307129,423.5625,0.1069626947965072,0.22093554604273877,25.46168349545868
440,5,24.891137425868898,619.5687223534914,0.5333664417266846,423.5625,0.1057361113660345,0.21840199095146118,24.853104669453025
450,5,24.20064498134364,585.6712175130331,0.5355370044708252,423.5625,0.10454412519052628,0.21593989781644507,24.145822119268246
460,5,23.830611454654797,567.8980423027244,0.5376725196838379,423.5625,0.10337875543153185,0.21353278190996047,23.796972779316174
470,5,23.31283021898002,543.4880528189881,0.5397720336914062,423.5625,0.10224462594199978,0.21119019397750757,23.217300384360225
480,5,22.707941020267402,515.650585379943,0.5421195030212402,423.5625,0.10113101147871276,0.20888998061811637,22.625686048041636
490,5,22.168264416903114,491.4319472577327,0.5442523956298828,423.5625,0.100042111437051,0.2066408158439099,22.134319672129973
500,5,21.569853250770542,465.25856925977655,0.5463523864746094,423.5625,0.09896844426986212,0.20442311515581185,21.535783989081175
510,6,21.108982617016984,445.5891471255252,0.5487310886383057,420.3125,0.09792277046141766,0.20226323582320166,21.070149661177204
520,6,20.71962336557791,429.3027924114021,0.5509483814239502,420.3125,0.09688893954597128,0.20012781844002378,20.691016943936628
530,6,20.41739470877906,416.8700066940792,0.5531260967254639,420.3125,0.09587675318215663,0.19803710870788918,20.3370171233859
540,6,19.861538831036576,394.4807247367738,0.5553245544433594,420.3125,0.09488108892308493,0.1959805260164027,19.828874869506993
550,6,19.947458026666858,397.9010817256361,0.5575418472290039,420.3125,0.09390323962591153,0.19396074081157474,19.84563567865189
560,6,19.25947381487808,370.92733162597443,0.5596787929534912,420.3125,0.09294735691463796,0.19198632843191454,19.25925465610856
570,6,18.925693353841403,358.1818689236366,0.5618646144866943,420.3125,0.09200289607799098,0.19003550837210248,18.91719102099795
580,6,18.48473084743449,341.68527450209626,0.563974142074585,420.328125,0.09108302613546704,0.18813548174668443,18.42865930132805
590,6,18.088269470459334,327.1854924359512,0.5661766529083252,420.328125,0.0901806435336584,0.18627157589381346,18.04426522314583
600,6,17.69399606175091,313.0774966332567,0.5683627128601074,420.328125,0.08929528063969608,0.1844428248998741,17.648109446814875
610,7,17.363670193848716,301.4970426007503,0.5706508159637451,420.46875,0.08842947353171035,0.18265446713145372,17.350594322337027
620,7,17.254461432640124,297.71643933046545,0.572967529296875,420.46875,0.08758367741786838,0.18090744283847,17.2558619262197
630,7,17.248598946044535,297.51416560148857,0.5751221179962158,420.46875,0.08675880511381716,0.17920363747663054,17.27917055525919
640,7,16.5408793958205,273.6006911870792,0.577343225479126,420.46875,0.08595682128588222,0.17754710913953747,16.6659606985012
650,7,16.115820384968902,259.7196666805792,0.579460620880127,420.46875,0.0851752429148479,0.17593272905582533,16.08370649889476
660,7,15.782751632901666,249.09524910586023,0.5817291736602783,420.46875,0.08441308642827582,0.17435846561892174,15.73604915722248
670,7,15.646493587018258,244.81276156860346,0.583876371383667,420.46875,0.08367743620840891,0.17283895189189788,15.6594522677029
680,7,16.26959788473787,264.69981533106693,0.5861539840698242,420.46875,0.08296395178310594,0.17136522246317326,16.281449668939374
690,7,15.265892275686678,233.04746697287018,0.5882933139801025,420.46875,0.08227475562769165,0.16994166138688685,15.250414839459335
700,7,14.85489059732407,220.66777465846707,0.590524435043335,420.46875,0.08160843474741045,0.16856535006821002,14.781234138057812
710,8,14.510264907273132,210.54778767924216,0.5930759906768799,421.625,0.08096773464734003,0.1672419594531176,14.501953582679583
720,8,14.425130853997114,208.0844001549395,0.5950791835784912,421.625,0.0803492335440916,0.16596442171686104,14.297763344476838
730,8,14.246347691862328,202.95842255743105,0.5970392227172852,421.625,0.07975952631393736,0.164746358829166,14.232847862440325
740,8,13.984153658751612,195.5565535515761,0.5991570949554443,421.625,0.07918955629868625,0.16356906391539197,13.957648836278691
750,8,13.582613357075378,184.48738560780245,0.601262092590332,421.625,0.07865233796919628,0.1624594188639482,13.515973062641676
760,8,13.26680645197793,176.0081534342432,0.6033730506896973,421.625,0.07813651087201842,0.16139395822278313,13.237363606767731
770,8,13.136376018400597,172.5643748968103,0.6054949760437012,421.625,0.07764944384670008,0.16038790261243369,13.161450598780592
780,8,13.812497150725195,190.78507753879163,0.607633113861084,421.625,0.07718835535242752,0.1594355066537311,13.939017997215677
790,8,13.172559057006595,173.51631211032648,0.6097631454467773,421.625,0.0767528005128971,0.1585358514376178,13.254868501534805
800,8,12.558307417789191,157.711085199699,0.6118862628936768,421.625,0.07634313043052039,0.15768966217958288,12.549120830959154
810,9,12.215975037356927,149.23004611332755,0.6142680644989014,421.625,0.07596367936662352,0.15690589146253012,12.171946720028167
820,9,11.942945788339737,142.63395410322184,0.6165413856506348,421.625,0.07560648674742729,0.15616809641618531,11.92380738630953
830,9,12.199785585442537,148.8347683307715,0.6187412738800049,421.625,0.07527788205169753,0.15548935082155177,12.248096414262593
840,9,12.260100469439944,150.31006352076156,0.6209628582000732,421.625,0.07497437674353535,0.15486244897401277,12.40815833602106
850,9,11.947984206501404,142.75432659880698,0.6231915950775146,421.625,0.07469871823763231,0.1542930657639237,11.775583328342305
860,9,11.405822996721195,130.09279823253405,0.6254422664642334,421.625,0.07444547078051342,0.15376997343412643,11.324940454349992
870,9,11.098274659708844,123.17170042233546,0.6276445388793945,421.625,0.07421792947628301,0.15329997814845173,11.05066446317856
880,9,10.840568337333735,117.51792187640272,0.6298065185546875,421.625,0.07401667884717932,0.15288428725998768,10.821213834773411
890,9,10.720727926123013,114.93400726595382,0.6320242881774902,421.625,0.07383825836831881,0.15251575292194347,10.740031360143792
900,9,11.510797171543267,132.49845152440847,0.6341652870178223,421.625,0.07368450141237316,0.1521981620358467,11.3974232539804
910,10,11.640482340900702,135.5008291288211,0.6365821361541748,421.625,0.07355448625066871,0.15192961073579153,11.639447208561071
920,10,11.891167851182827,141.399872865004,0.6386435031890869,421.625,0.07344738030877737,0.15170837930738368,11.542390936611447
930,10,10.48140174063603,109.85978244860803,0.6409096717834473,421.625,0.07336111943803363,0.15153020417243454,10.393635817308086
940,10,9.974333407452523,99.48732692302346,0.6431210041046143,421.625,0.07329687262450436,0.15139749991647317,9.931783351349695
950,10,9.642077539669895,92.96965928100667,0.6454381942749023,421.625,0.07325310680665353,0.15130709994213373,9.629844832957321
960,10,9.444992451617281,89.20788241110743,0.6476666927337646,421.625,0.07323056844938183,0.15126054610128106,9.430050225815549
970,10,9.390877788022243,88.18858562956952,0.6498863697052002,421.625,0.07322712776250748,0.1512534392306586,9.408706601762493
980,10,10.003086262363665,100.06173477228867,0.6521322727203369,421.625,0.07324316949718458,0.15128657404852291,10.073928060251754
990,10,10.306192286001627,106.21759943603945,0.6543979644775391,421.625,0.07327786547745757,0.15135823992569333,10.469501718108042
1000,10,10.692606079527591,114.33182477195041,0.6566712856292725,421.625,0.07332965537380012,0.15146521394172485,10.221313244770892
